#
# ODE Beamline
# SOLEIL synchrotron
# Dispersive mode
# Energy calibrated against the Ruffoni Fe foil
# Spectrum of phonolite melt at 1630 °C, in air
# data from C. Le Losq, R. Moretti, C. Oppenheimer, F. Baudelet, D.R. Neuville, Contrib Mineral Petrol 175 (2020) 64.
#
# energy, mu
7077.9	-0.065347
7078	-0.061884
7078.2	-0.063083
7078.3	-0.065159
7078.5	-0.064886
7078.7	-0.063001
7078.8	-0.065208
7079	-0.066037
7079.1	-0.06142
7079.3	-0.05826
7079.4	-0.058956
7079.6	-0.06444
7079.8	-0.06537
7079.9	-0.062331
7080.1	-0.059869
7080.2	-0.06381
7080.4	-0.068711
7080.5	-0.068803
7080.7	-0.067263
7080.8	-0.063197
7081	-0.060593
7081.2	-0.064397
7081.3	-0.067304
7081.5	-0.06633
7081.6	-0.062724
7081.8	-0.061675
7081.9	-0.066508
7082.1	-0.070182
7082.2	-0.06869
7082.4	-0.064978
7082.6	-0.063951
7082.7	-0.06722
7082.9	-0.071224
7083	-0.069896
7083.2	-0.066642
7083.3	-0.064556
7083.5	-0.061409
7083.6	-0.060258
7083.8	-0.058738
7084	-0.058987
7084.1	-0.06839
7084.3	-0.077264
7084.4	-0.076712
7084.6	-0.071994
7084.7	-0.070369
7084.9	-0.070509
7085	-0.070296
7085.2	-0.069565
7085.4	-0.068618
7085.5	-0.066479
7085.7	-0.067363
7085.8	-0.068603
7086	-0.070263
7086.1	-0.070863
7086.3	-0.072948
7086.4	-0.073
7086.6	-0.071104
7086.8	-0.07076
7086.9	-0.070997
7087.1	-0.072433
7087.2	-0.072114
7087.4	-0.07219
7087.5	-0.074275
7087.7	-0.074492
7087.9	-0.073248
7088	-0.074707
7088.2	-0.074423
7088.3	-0.072811
7088.5	-0.071572
7088.6	-0.070578
7088.8	-0.071694
7088.9	-0.073274
7089.1	-0.073131
7089.3	-0.072905
7089.4	-0.072675
7089.6	-0.072157
7089.7	-0.069131
7089.9	-0.065709
7090	-0.067097
7090.2	-0.070362
7090.3	-0.07263
7090.5	-0.073649
7090.7	-0.073655
7090.8	-0.071155
7091	-0.070865
7091.1	-0.073124
7091.3	-0.076242
7091.4	-0.078052
7091.6	-0.077541
7091.7	-0.076874
7091.9	-0.078123
7092.1	-0.077771
7092.2	-0.077282
7092.4	-0.077349
7092.5	-0.077488
7092.7	-0.075756
7092.8	-0.074416
7093	-0.074059
7093.1	-0.074272
7093.3	-0.076999
7093.5	-0.078697
7093.6	-0.079447
7093.8	-0.080426
7093.9	-0.080199
7094.1	-0.079786
7094.2	-0.08084
7094.4	-0.081151
7094.5	-0.080957
7094.7	-0.082397
7094.9	-0.080837
7095	-0.080768
7095.2	-0.08234
7095.3	-0.08246
7095.5	-0.079743
7095.6	-0.077455
7095.8	-0.075923
7096	-0.075448
7096.1	-0.078519
7096.3	-0.081187
7096.4	-0.081985
7096.6	-0.081721
7096.7	-0.081187
7096.9	-0.081567
7097	-0.08258
7097.2	-0.082065
7097.4	-0.081409
7097.5	-0.080319
7097.7	-0.080202
7097.8	-0.080778
7098	-0.080935
7098.1	-0.080654
7098.3	-0.080719
7098.4	-0.082033
7098.6	-0.0843
7098.8	-0.086799
7098.9	-0.087795
7099.1	-0.08573
7099.2	-0.082468
7099.4	-0.081849
7099.5	-0.085034
7099.7	-0.088917
7099.8	-0.088892
7100	-0.087624
7100.2	-0.087261
7100.3	-0.085762
7100.5	-0.084522
7100.6	-0.085271
7100.8	-0.08684
7100.9	-0.08684
7101.1	-0.087247
7101.2	-0.087589
7101.4	-0.08662
7101.6	-0.085938
7101.7	-0.085786
7101.9	-0.086283
7102	-0.088647
7102.2	-0.08927
7102.3	-0.088145
7102.5	-0.087521
7102.6	-0.086161
7102.8	-0.084336
7103	-0.08421
7103.1	-0.085088
7103.3	-0.085445
7103.4	-0.086789
7103.6	-0.087324
7103.7	-0.086778
7103.9	-0.084269
7104.1	-0.082536
7104.2	-0.083891
7104.4	-0.086402
7104.5	-0.087488
7104.7	-0.087701
7104.8	-0.088891
7105	-0.089291
7105.1	-0.089969
7105.3	-0.089679
7105.5	-0.087215
7105.6	-0.084101
7105.8	-0.081882
7105.9	-0.081648
7106.1	-0.08356
7106.2	-0.08571
7106.4	-0.088314
7106.5	-0.089262
7106.7	-0.090202
7106.9	-0.090547
7107	-0.089771
7107.2	-0.088244
7107.3	-0.087114
7107.5	-0.087156
7107.6	-0.086403
7107.8	-0.086465
7107.9	-0.086999
7108.1	-0.087496
7108.3	-0.087213
7108.4	-0.085763
7108.6	-0.084228
7108.7	-0.083001
7108.9	-0.083246
7109	-0.084651
7109.2	-0.083658
7109.3	-0.078726
7109.5	-0.072319
7109.7	-0.068473
7109.8	-0.070805
7110	-0.079602
7110.1	-0.090444
7110.3	-0.093291
7110.4	-0.089422
7110.6	-0.085624
7110.7	-0.081432
7110.9	-0.078437
7111.1	-0.075843
7111.2	-0.075287
7111.4	-0.076337
7111.5	-0.074677
7111.7	-0.071215
7111.8	-0.068102
7112	-0.065904
7112.2	-0.064064
7112.3	-0.06044
7112.5	-0.055744
7112.6	-0.053458
7112.8	-0.050592
7112.9	-0.048085
7113.1	-0.043893
7113.2	-0.036639
7113.4	-0.028692
7113.6	-0.022757
7113.7	-0.017427
7113.9	-0.010804
7114	-0.0031997
7114.2	0.004241
7114.3	0.0096579
7114.5	0.015392
7114.6	0.022845
7114.8	0.028933
7115	0.033696
7115.1	0.036877
7115.3	0.036662
7115.4	0.031885
7115.6	0.023269
7115.7	0.01357
7115.9	0.0059934
