#  tricabonyl cyclopentadienyl manganese
#  COMPOUND ON TAPE, IN TRANSMISSION, STP
#  BNL NSLS X19A EX
#  SCAN FILE : MN03       SCAN PARAMETERS FOR MN08   .002
#  CRYSTAL SET 311 EDGE IS   6.540 KeV
#  REPEAT 10 TIMES THE 4 REGION SCAN WITH REST TIME:   0.500
#  SCAN START FROM   6.340 KeV, STOP AT(KeV OR -1/A): 6.520  6.570  6.900  7.200
#  STEP SIZE FOR EACH REGION(eV OR 1/A):  10.00   0.70   1.50   3.00
#  COLLECTING TIME FOR EACH REGION(SEC):   2.0    2.0    2.0    2.0
#  SCAN STARTED: 05:04:43  5-NOV-95 SCAN FINISHED: 05:27:40
#  # OF DATA POINTS COLLECTED : 409
#--------------
#  E        xmu(trans)
 6787.49   -1.546057
 6788.97   -1.548809
 6790.49   -1.551633
 6791.97   -1.554381
 6793.50   -1.557163
 6794.98   -1.559868
 6796.46   -1.562721
 6797.99   -1.565425
 6799.47   -1.568213
 6801.00   -1.571170
 6802.48   -1.573987
 6803.97   -1.576879
 6805.49   -1.579618
 6806.98   -1.582494
 6808.47   -1.585241
 6810.00   -1.588397
 6811.48   -1.591375
 6812.97   -1.594176
 6814.46   -1.597089
 6815.99   -1.599968
 6817.48   -1.602954
 6818.97   -1.605582
 6820.50   -1.608710
 6821.99   -1.611612
 6823.48   -1.614520
 6824.97   -1.617207
 6826.46   -1.620291
 6828.00   -1.623146
 6829.49   -1.625823
 6830.98   -1.628790
 6832.47   -1.631798
 6833.97   -1.634692
 6835.46   -1.637386
 6837.00   -1.640105
 6838.49   -1.642922
 6839.99   -1.645764
 6841.48   -1.648561
 6842.98   -1.651080
 6844.48   -1.653755
 6845.97   -1.656562
 6847.47   -1.659281
 6848.97   -1.661904
 6850.47   -1.664251
 6851.96   -1.667016
 6853.46   -1.669803
 6854.96   -1.672070
 6856.46   -1.674509
 6857.96   -1.677078
 6859.46   -1.679796
 6860.96   -1.682130
 6862.47   -1.684516
 6863.97   -1.687304
 6865.47   -1.689629
 6866.97   -1.691956
 6868.48   -1.694269
 6869.98   -1.696797
 6871.48   -1.699076
 6872.99   -1.701618
 6874.49   -1.704079
 6876.00   -1.706506
 6877.46   -1.709026
 6878.97   -1.711277
 6880.47   -1.713577
 6881.98   -1.716343
 6883.49   -1.718797
 6885.00   -1.721354
 6886.46   -1.723721
 6887.97   -1.726361
 6889.48   -1.729161
 6890.99   -1.731864
 6892.50   -1.734332
 6893.96   -1.736856
 6895.48   -1.739468
 6896.99   -1.742162
 6898.50   -1.744622
 6899.97   -1.747317
 6902.99   -1.752841
 6905.98   -1.758050
 6908.96   -1.763437
 6911.99   -1.768816
 6914.98   -1.774394
 6917.97   -1.779837
 6920.96   -1.785433
 6924.00   -1.791079
 6926.99   -1.796472
 6929.99   -1.801915
 6932.98   -1.807498
 6935.98   -1.812730
 6938.99   -1.818343
 6941.99   -1.823502
 6944.99   -1.829022
 6948.00   -1.834486
 6950.96   -1.839198
 6953.97   -1.844329
 6956.98   -1.849374
 6960.00   -1.854839
 6962.96   -1.859581
 6965.98   -1.864519
 6969.00   -1.869733
 6971.97   -1.874641
 6974.99   -1.879703
 6977.97   -1.884474
 6980.99   -1.889709
 6983.98   -1.894549
