#---------------------------------
#  col1  col2
  8993.000000    0.107229
  8993.500000    0.134259
  8994.000000    0.152689
  8994.500000    0.163124
  8995.000000    0.161249
  8995.500000    0.150532
  8996.000000    0.132618
  8996.500000    0.111015
  8997.000000    0.086292
  8997.500000    0.064798
  8998.000000    0.044358
  8998.500000    0.025935
  8999.000000    0.012397
  8999.500000    0.003048
  9000.000000   -0.001236
  9000.500000    0.000441
  9001.000000    0.008658
  9001.500000    0.022850
  9002.000000    0.040540
  9002.500000    0.059166
  9003.000000    0.079512
  9003.500000    0.094258
  9004.000000    0.100910
  9004.984000    0.088320
  9005.988000    0.055475
  9007.012000    0.017123
  9008.053000   -0.011997
  9009.114000   -0.035071
  9010.193000   -0.058319
  9011.293000   -0.078860
  9012.410000   -0.089259
  9013.548000   -0.089680
  9014.703000   -0.085504
  9015.878000   -0.077926
  9017.072000   -0.065630
  9018.285000   -0.048195
  9019.518000   -0.026958
  9020.769000   -0.005496
  9022.038000    0.014515
  9023.327000    0.033042
  9024.636000    0.051668
  9025.963000    0.064964
  9027.309000    0.066855
  9028.674000    0.054813
  9030.059000    0.033927
  9031.461000    0.010545
  9032.884000   -0.013701
  9034.325000   -0.031684
  9035.785000   -0.042513
  9037.265000   -0.047436
  9038.763000   -0.046801
  9040.280000   -0.040781
  9041.816000   -0.032184
  9043.372000   -0.026240
  9044.946000   -0.025574
  9046.540000   -0.028066
  9048.152000   -0.026090
  9049.783000   -0.018248
  9051.434000   -0.008947
  9053.104000   -0.004096
  9054.792000   -0.003632
  9056.500000   -0.001803
  9058.227000    0.005299
  9059.972000    0.016731
  9061.736000    0.027204
  9063.521000    0.034806
  9065.322000    0.041018
  9067.145000    0.048657
  9068.985000    0.058413
  9070.845000    0.069627
  9072.724000    0.077035
  9074.621000    0.076183
  9076.538000    0.066614
  9078.474000    0.049379
  9080.429000    0.029890
  9082.402000    0.012563
  9084.396000   -0.002514
  9086.407000   -0.016085
  9088.438000   -0.024876
  9090.488000   -0.029213
  9092.557000   -0.038734
  9094.646000   -0.053605
  9096.752000   -0.068213
  9098.878000   -0.077770
  9101.023000   -0.078266
  9103.188000   -0.070496
  9105.370000   -0.056770
  9107.572000   -0.041008
  9109.794000   -0.026809
  9112.034000   -0.015354
  9114.293000   -0.009026
  9116.571000   -0.007449
  9118.868000   -0.007701
  9121.185000   -0.005170
  9123.520000    0.005178
  9125.874000    0.025544
  9128.247000    0.053442
  9130.640000    0.073659
  9133.051000    0.082447
  9135.481000    0.080810
  9137.931000    0.074955
  9140.399000    0.065734
  9142.887000    0.052698
  9145.393000    0.033502
  9147.919000    0.012059
  9150.463000   -0.012709
  9153.026000   -0.037684
  9155.609000   -0.061638
  9158.211000   -0.078700
  9160.831000   -0.085126
  9163.471000   -0.076937
  9166.129000   -0.058317
  9168.807000   -0.034507
  9171.504000   -0.012783
  9174.220000    0.001481
  9176.954000    0.009580
  9179.708000    0.011338
  9182.480000    0.009320
  9185.272000    0.006761
  9188.083000    0.006967
  9190.913000    0.006585
  9193.762000    0.004304
  9196.630000    0.000806
  9199.517000    0.001478
  9202.422000    0.010368
  9205.348000    0.026327
  9208.291000    0.041351
  9211.254000    0.047830
  9214.236000    0.047618
  9217.237000    0.044785
  9220.257000    0.039342
  9223.296000    0.029027
  9226.354000    0.013645
  9229.432000   -0.001175
  9232.527000   -0.015238
  9235.643000   -0.026514
  9238.776000   -0.032999
  9241.930000   -0.033713
  9245.103000   -0.030562
  9248.293000   -0.027224
  9251.504000   -0.025268
  9254.732000   -0.023390
  9257.981000   -0.021229
  9261.248000   -0.018021
  9264.535000   -0.013896
  9267.840000   -0.008822
  9271.164000   -0.004051
  9274.508000    0.000295
  9277.870000    0.004535
  9281.252000    0.007114
  9284.652000    0.009806
  9288.071000    0.012376
  9291.510000    0.015170
  9294.968000    0.016944
  9298.444000    0.019197
  9301.939000    0.018428
  9305.454000    0.014903
  9308.988000    0.010546
  9312.541000    0.004270
  9316.112000    0.000087
  9319.703000   -0.003766
  9323.313000   -0.005635
  9326.941000   -0.005313
  9330.589000   -0.004421
  9334.256000   -0.005271
  9337.941000   -0.008327
  9341.646000   -0.012577
  9345.370000   -0.014745
  9349.113000   -0.013105
  9352.875000   -0.010712
  9356.655000   -0.008498
  9360.456000   -0.006565
  9364.274000   -0.004156
  9368.112000   -0.001258
  9371.970000    0.000797
  9375.846000    0.003360
  9379.740000    0.004920
  9383.654000    0.007554
  9387.588000    0.008808
  9391.540000    0.010217
  9395.511000    0.011544
  9399.501000    0.011973
  9403.510000    0.011732
  9407.538000    0.009611
  9411.585000    0.007436
  9415.651000    0.004128
  9419.736000    0.001483
  9423.841000   -0.000392
  9427.964000   -0.000520
  9432.106000   -0.000407
  9436.268000   -0.000325
  9440.448000   -0.000441
  9444.647000   -0.000759
  9448.866000   -0.002014
  9453.104000   -0.003956
  9457.359000   -0.005123
  9461.635000   -0.005529
  9465.930000   -0.005612
  9470.243000   -0.005960
  9474.575000   -0.006262
  9478.927000   -0.005473
  9483.298000   -0.004663
  9487.688000   -0.003258
  9492.096000   -0.001827
  9496.523000   -0.000281
  9500.970000    0.001181
  9505.436000    0.002888
  9509.920000    0.003995
  9514.424000    0.004178
  9518.946000    0.003943
  9523.488000    0.002573
  9528.049000    0.000960
  9532.629000   -0.000462
  9537.228000   -0.001029
  9541.846000   -0.001555
  9546.482000   -0.001647
  9551.139000   -0.001813
  9555.813000   -0.001393
  9560.507000   -0.001177
  9565.220000   -0.001330
  9569.952000   -0.001382
  9574.703000   -0.001236
  9579.473000   -0.001157
  9584.262000   -0.001640
  9589.070000   -0.001738
  9593.896000   -0.001566
  9598.743000   -0.001206
  9603.608000   -0.000739
  9608.492000   -0.000100
  9613.396000    0.000431
  9618.317000    0.000988
  9623.259000    0.001710
  9628.219000    0.002107
  9633.198000    0.002717
  9638.196000    0.002984
  9643.214000    0.002977
  9648.250000    0.002926
  9653.306000    0.002948
  9658.380000    0.002490
  9663.473000    0.002255
  9668.585000    0.001853
  9673.717000    0.001276
  9678.867000    0.001178
  9684.037000    0.000819
  9689.225000    0.000541
  9694.433000   -0.000021
  9699.659000   -0.000257
  9704.904000   -0.000480
  9710.169000   -0.000497
  9715.453000   -0.000614
  9720.756000   -0.000917
  9726.077000   -0.001318
  9731.418000   -0.001383
  9736.777000   -0.001326
  9742.156000   -0.001704
  9747.554000   -0.001163
  9752.971000   -0.000905
  9758.406000   -0.000702
  9763.861000   -0.000825
  9769.335000   -0.000567
  9774.827000   -0.000227
  9780.339000   -0.000414
  9785.870000   -0.000453
  9791.420000   -0.000503
  9796.988000   -0.000109
  9802.577000   -0.000136
  9808.184000   -0.000174
  9813.810000   -0.000228
  9819.454000   -0.000239
  9825.118000   -0.000278
  9830.802000   -0.000326
  9836.504000   -0.000220
  9842.225000   -0.000458
  9847.965000   -0.000480
  9853.724000   -0.000454
  9859.502000   -0.000506
  9865.299000   -0.000434
  9871.115000   -0.000331
  9876.950000   -0.000298
  9882.805000   -0.000266
  9888.678000   -0.000233
  9894.570000   -0.000218
  9900.481000   -0.000143
  9906.412000    0.000020
  9912.361000    0.000162
  9918.329000    0.000325
  9924.316000    0.000466
  9930.323000    0.000477
  9936.349000    0.000477
  9942.393000    0.000524
  9948.456000    0.000584
  9954.539000    0.000566
  9960.641000    0.000589
  9966.761000    0.000652
  9972.900000    0.000586
  9979.059000    0.000742
  9985.236000    0.000743
  9991.434000    0.000797
  9997.648000    0.000772
  10003.880000    0.000788
  10010.140000    0.000693
  10016.410000    0.000698
  10022.700000    0.000539
  10029.010000    0.000412
  10035.340000    0.000324
  10041.690000    0.000287
  10048.060000    0.000331
  10054.450000    0.000283
  10060.850000    0.000277
  10067.280000    0.000086
  10073.720000   -0.000006
  10080.180000   -0.000212
  10086.660000   -0.000438
  10093.170000   -0.000651
  10099.690000   -0.000855
  10106.220000   -0.001043
  10112.780000   -0.001212
  10119.360000   -0.001449
  10125.960000   -0.001780
  10132.570000   -0.002177
  10139.210000   -0.002590
  10145.860000   -0.002568
