
 Rmax  5.0000,  keep limit  0.000, heap limit  0.000    Feff 6L.02  paths 3.05
 Plane wave chi amplitude filter   2.50%
 -------------------------------------------------------------------------------
     1    2   6.000  index, nleg, degeneracy, r=  2.1537
    18    3  12.000  index, nleg, degeneracy, r=  4.1635
      x           y           z     ipot  label      rleg      beta        eta
    4.006160   -0.013200    0.686700   3 'O     '     4.0646  152.7049    0.0000
    2.945710    0.499430    0.221060   2 'C     '     1.2666   38.4736    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9959  168.8215    0.0000
    19    3  12.000  index, nleg, degeneracy, r=  4.2026
      x           y           z     ipot  label      rleg      beta        eta
    0.078550   -0.013200    3.251660   3 'O     '     3.2526  139.9557    0.0000
    1.885250    0.499430    0.913600   3 'O     '     2.9989  103.6671    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.1537  116.3772    0.0000
    20    3  12.000  index, nleg, degeneracy, r=  4.2060
      x           y           z     ipot  label      rleg      beta        eta
   -2.042360    0.499430    3.478560   3 'O     '     4.0646  159.4196    0.0000
   -0.981900    1.012060    1.627840   3 'O     '     2.1937   41.5618    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.1537  159.0186    0.0000
    21    4   6.000  index, nleg, degeneracy, r=  4.2625
      x           y           z     ipot  label      rleg      beta        eta
   -2.945710   -0.499430   -0.221060   2 'C     '     2.9959  141.5265    0.0000
   -1.885250   -0.499430   -0.913600   3 'O     '     1.2666  180.0000    0.0000
   -2.945710   -0.499430   -0.221060   2 'C     '     1.2666  141.5265    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9959  180.0000    0.0000
    22    4   6.000  index, nleg, degeneracy, r=  4.2625
      x           y           z     ipot  label      rleg      beta        eta
   -2.945710   -0.499430   -0.221060   2 'C     '     2.9959   38.4736    0.0000
   -4.006160    0.013200   -0.686700   3 'O     '     1.2666  180.0000    0.0000
   -2.945710   -0.499430   -0.221060   2 'C     '     1.2666   38.4736    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9959  180.0000    0.0000
    23    4  12.000  index, nleg, degeneracy, r=  4.3049
      x           y           z     ipot  label      rleg      beta        eta
    0.981900   -0.499430   -2.786020   2 'C     '     2.9959   38.4738  -43.4048
    2.042360   -0.499430   -3.478560   3 'O     '     1.2666  150.0000   63.6905
    0.981900   -1.012060   -1.627840   3 'O     '     2.1937   41.5618  -31.1903
    0.000000    0.000000    0.000000   0 'Fe    '     2.1537  158.5379   73.0380
    24    3   6.000  index, nleg, degeneracy, r=  4.3073
