# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au sulphide.nor
#---------------------------------
#    energy         munorm
  12227.505000    1.003504
  12232.131000    1.002588
  12236.500000    1.001693
  12241.655000    1.000242
  12246.683000    1.000043
  12251.422000    0.998067
  12256.197000    0.997936
  12261.304000    0.997679
  12266.316000    0.997659
  12271.497000    0.998194
  12276.189000    0.998551
  12281.378000    0.998619
  12286.703000    0.999713
  12291.869000    0.998509
  12297.335000    1.000546
  12302.212000    1.000188
  12307.489000    1.001267
  12313.035000    1.002262
  12318.488000    1.002982
  12324.110000    1.002119
  12329.340000    1.002525
  12334.641000    1.001989
  12340.079000    1.001993
  12345.888000    1.001614
  12351.735000    1.000498
  12357.588000    1.001531
  12363.446000    1.000271
  12368.610000    0.999942
  12374.512000    0.998169
  12380.187000    0.998895
  12386.401000    0.998810
  12392.388000    0.998807
  12398.548000    0.998574
  12404.680000    0.997961
  12410.684000    0.998071
  12417.031000    0.999606
  12422.677000    0.998854
  12428.868000    0.999829
  12435.166000    0.999831
  12441.200000    1.000596
  12447.443000    1.000628
  12453.827000    1.000727
  12460.354000    1.000085
  12467.090000    1.000812
  12473.495000    1.000132
  12480.076000    1.000232
  12486.732000    0.999142
  12493.532000    0.998336
  12500.032000    0.997346
  12506.540000    0.998037
  12513.429000    0.997089
  12520.463000    0.996694
  12527.026000    0.997611
  12533.665000    0.996769
  12540.688000    0.996346
  12547.684000    0.997965
  12554.585000    0.997638
  12561.460000    0.999124
  12568.652000    0.998243
  12575.680000    0.998303
  12582.716000    0.999273
  12589.725000    0.999710
  12597.054000    0.998676
  12604.391000    0.999937
  12611.391000    0.999857
  12618.571000    0.999423
  12625.969000    0.998646
  12633.340000    0.999810
  12640.581000    0.999788
  12647.760000    0.999402
  12655.228000    0.999952
  12662.878000    0.999933
  12670.014000    0.999964
  12677.998000    0.999924
  12685.536000    1.000127
  12693.435000    0.999961
  12701.062000    0.999978
  12708.910000    0.999419
  12716.768000    1.000174
  12724.459000    1.001063
  12731.982000    1.000879
  12739.763000    1.001425
  12747.836000    1.001775
  12755.211000    1.001307
  12763.517000    1.001262
  12771.764000    1.003168
  12779.700000    1.002269
  12787.575000    1.002896
  12795.853000    1.002837
  12803.892000    1.002889
  12811.547000    1.002726
  12819.856000    1.002803
  12828.212000    1.002533
  12836.543000    1.002724
  12844.705000    1.002451
  12853.310000    1.003662
  12861.530000    1.001869
  12869.291000    1.001394
  12878.038000    1.002993
  12886.834000    1.002544
  12889.261000    1.003310
