# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au hydroxide.nor
#---------------------------------
#    energy         munorm
  12323.660000    0.997773
  12328.857000    0.997173
  12334.124000    0.997449
  12339.662000    0.996952
  12345.470000    0.997161
  12351.350000    0.997165
  12357.036000    0.996992
  12362.694000    0.997529
  12367.790000    0.998288
  12373.558000    0.998671
  12379.432000    0.998996
  12385.746000    0.999588
  12391.765000    1.000003
  12397.790000    0.999843
  12404.090000    1.000850
  12409.993000    1.000358
  12416.204000    1.000809
  12421.917000    1.000421
  12427.938000    1.000500
  12434.268000    1.000077
  12440.470000    0.999505
  12446.780000    1.000089
  12453.265000    0.998674
  12459.757000    0.998636
  12466.527000    0.998662
  12472.965000    0.997338
  12479.443000    0.997041
  12486.167000    0.996840
  12492.898000    0.996774
  12499.499000    0.996323
  12505.904000    0.996461
  12512.929000    0.996656
  12519.723000    0.997008
  12526.457000    0.997316
  12532.958000    0.997480
  12540.082000    0.998058
  12546.975000    0.998057
  12554.013000    0.998664
  12560.749000    0.998916
  12568.078000    0.999545
  12575.071000    0.999433
  12582.209000    0.999942
  12589.149000    0.999645
  12596.477000    0.999168
  12603.917000    0.999540
  12610.847000    0.999434
  12618.061000    0.999689
  12625.527000    1.000045
  12632.898000    0.999454
  12640.173000    0.998945
  12647.317000    0.999131
  12654.784000    0.999395
  12662.329000    0.998941
  12669.569000    0.999337
  12677.307000    0.999350
  12684.879000    0.998977
  12692.953000    0.999737
  12700.509000    0.999611
  12708.427000    1.000203
  12716.354000    1.000772
  12724.115000    1.001098
  12731.638000    1.001221
  12739.489000    1.001567
  12747.527000    1.002277
  12754.936000    1.002674
  12763.278000    1.002981
  12771.523000    1.003400
  12779.460000    1.003374
  12787.406000    1.003595
  12795.683000    1.004553
  12803.757000    1.004584
  12811.555000    1.004573
  12819.793000    1.005078
  12828.256000    1.005112
  12836.731000    1.005179
  12844.857000    1.005611
  12853.499000    1.005567
  12861.755000    1.006107
  12869.552000    1.006136
  12878.335000    1.006784
  12887.167000    1.006942
  12889.522000    1.007250
