# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au foil.nor
#---------------------------------
#    energy         munorm
  12227.640000    1.010691
  12232.201000    1.008947
  12236.634000    1.005332
  12241.724000    1.000421
  12246.752000    0.996890
  12251.360000    0.996142
  12256.201000    0.995973
  12261.405000    0.996760
  12266.319000    0.996935
  12271.499000    0.997895
  12276.158000    0.997287
  12281.479000    0.997056
  12286.902000    0.998803
  12292.001000    1.001040
  12297.500000    1.003166
  12302.311000    1.004268
  12307.687000    1.005076
  12313.233000    1.005678
  12318.619000    1.004960
  12324.241000    1.003435
  12329.438000    1.000610
  12334.706000    0.997713
  12340.177000    0.995950
  12346.018000    0.995527
  12351.898000    0.996103
  12357.651000    0.997352
  12363.409000    0.998507
  12368.573000    0.999713
  12374.408000    1.001243
  12380.249000    1.002013
  12386.497000    1.002313
  12392.516000    1.003007
  12398.576000    1.003308
  12404.808000    1.002729
  12410.779000    1.001851
  12417.058000    1.000916
  12422.704000    0.999882
  12428.861000    0.998921
  12435.225000    0.997899
  12441.327000    0.997115
  12447.637000    0.996803
  12454.089000    0.997007
  12460.615000    0.997714
  12467.284000    0.998426
  12473.722000    0.999336
  12480.303000    1.000299
  12486.993000    1.001029
  12493.793000    1.001641
  12500.327000    1.001805
  12506.800000    1.001570
  12513.724000    1.000929
  12520.655000    1.000160
  12527.253000    0.999382
  12533.857000    0.999133
  12540.914000    0.998316
  12547.910000    0.998074
  12554.777000    0.997803
  12561.617000    0.997522
  12568.843000    0.997627
  12575.905000    0.998132
  12582.906000    0.998918
  12589.847000    0.999953
  12597.210000    1.000546
  12604.581000    1.000928
  12611.650000    1.001356
  12618.795000    1.001143
  12626.262000    1.000909
  12633.599000    1.000321
  12640.840000    0.999704
  12648.054000    0.999323
  12655.486000    0.999023
  12663.136000    0.998990
  12670.237000    0.998680
  12678.151000    0.998862
  12685.689000    0.998470
  12693.622000    0.998946
  12701.214000    0.999231
  12709.062000    0.999802
  12716.990000    1.000072
  12724.751000    1.000573
  12732.275000    1.000957
  12740.055000    1.001315
  12748.022000    1.001542
  12755.396000    1.001307
  12763.703000    1.001214
  12771.913000    1.001262
  12779.849000    1.000822
  12787.724000    1.000680
  12796.002000    1.000570
  12804.040000    1.000858
  12811.731000    1.000586
  12819.896000    1.000924
  12828.216000    1.000895
  12836.726000    1.001553
  12844.924000    1.001862
  12853.529000    1.002252
  12861.749000    1.002735
  12869.582000    1.002892
  12878.438000    1.003075
  12887.378000    1.003394
  12889.805000    1.003574
