# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au3 Cl aq.nor
#---------------------------------
#    energy         munorm
  12227.142000    1.007539
  12231.703000    1.005483
  12236.136000    1.002860
  12241.226000    1.000626
  12246.254000    0.999332
  12250.960000    0.996909
  12255.735000    0.995287
  12260.906000    0.993757
  12265.820000    0.992903
  12271.066000    0.992772
  12275.791000    0.991846
  12280.980000    0.992797
  12286.370000    0.994336
  12291.469000    0.996008
  12296.935000    0.998404
  12301.746000    0.999814
  12307.089000    1.002151
  12312.635000    1.003972
  12318.054000    1.004833
  12323.709000    1.006016
  12328.939000    1.005505
  12334.206000    1.005378
  12339.711000    1.004627
  12345.519000    1.003839
  12351.399000    1.002716
  12357.152000    1.001203
  12362.976000    1.000147
  12368.140000    0.999137
  12373.942000    0.997502
  12379.749000    0.996690
  12385.964000    0.996124
  12391.983000    0.995401
  12398.076000    0.995577
  12404.308000    0.995765
  12410.245000    0.995959
  12416.558000    0.997188
  12422.238000    0.997805
  12428.360000    0.998954
  12434.759000    0.999937
  12440.826000    1.000519
  12447.103000    1.001209
  12453.554000    1.001704
  12460.047000    1.001724
  12466.749000    1.001907
  12473.188000    1.001552
  12479.735000    1.001085
  12486.425000    1.000623
  12493.224000    0.999653
  12499.724000    0.998800
  12506.197000    0.998203
  12513.155000    0.997580
  12520.120000    0.996859
  12526.751000    0.996617
  12533.321000    0.997368
  12540.446000    0.996211
  12547.408000    0.996251
  12554.275000    0.996518
  12561.149000    0.997392
  12568.341000    0.998219
  12575.369000    0.998315
  12582.370000    0.999263
  12589.310000    0.999765
  12596.638000    0.999873
  12604.010000    1.000431
  12611.078000    1.000724
  12618.224000    1.000553
  12625.655000    1.000920
  12632.992000    1.000339
  12640.232000    0.999991
  12647.412000    1.000233
  12654.843000    0.999873
  12662.494000    0.999615
  12669.699000    0.999285
  12677.542000    0.999039
  12685.115000    0.998912
  12693.084000    0.998938
  12700.676000    0.999218
  12708.558000    0.999456
  12716.451000    0.999404
  12724.177000    1.000507
  12731.665000    1.000508
  12739.481000    1.001244
  12747.447000    1.001740
  12754.857000    1.002097
  12763.163000    1.002573
  12771.338000    1.002877
  12779.274000    1.003060
  12787.185000    1.003457
  12795.462000    1.004136
  12803.464000    1.003788
  12811.154000    1.004212
  12819.356000    1.004198
  12827.640000    1.003934
  12836.114000    1.004316
  12844.312000    1.004602
  12852.880000    1.004547
  12861.064000    1.004735
  12868.896000    1.005157
  12877.715000    1.005120
  12886.582000    1.005929
  12889.010000    1.005861
