 Structure from AMSCIFDB, AMS_ID: 11314         Feff8L (EXAFS)       0.1
 Mineral Name: Wustite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  rocksalt structure
 Formula:    FeO
 SpaceGroup: Fm-3m
 # sites:    2
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.377 Rnm= 1.436 K  shell
 Pot 1 Z=26 Rmt= 1.384 Rnm= 1.444
 Pot 2 Z= 8 Rmt= 1.015 Rnm= 1.060
 Pot 3 Z=82 Rmt= 1.418 Rnm= 1.486
 Gam_ch=1.309E+00 H-L exch
 Mu=-3.054E+00 kf=2.208E+00 Vint=-2.162E+01 Rs_int= 1.643
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   2   1.000   3.0482    2.4471   -3.05423 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
    -2.1554    2.1554   -0.0000  3  82 Pb
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  6.000  1.1224E+00  1.4879E-01 -1.3435E+01  1.087E+00  7.8030E+00  6.2878E+00
  6.500  9.0623E-01  3.1231E-01 -1.3534E+01  1.063E+00  8.5033E+00  6.7553E+00
  7.000  6.9369E-01  4.1629E-01 -1.3590E+01  1.044E+00  9.2601E+00  7.2286E+00
  7.500  4.8853E-01  4.6566E-01 -1.3619E+01  1.030E+00  1.0067E+01  7.7064E+00
  8.000  2.9616E-01  4.7607E-01 -1.3627E+01  1.015E+00  1.0919E+01  8.1878E+00
  8.500  1.1165E-01  4.6293E-01 -1.3615E+01  9.999E-01  1.1812E+01  8.6720E+00
  9.000 -6.9203E-02  4.3785E-01 -1.3575E+01  9.844E-01  1.2745E+01  9.1585E+00
  9.500 -2.4720E-01  4.1122E-01 -1.3498E+01  9.721E-01  1.3715E+01  9.6467E+00
 10.000 -4.1979E-01  3.9248E-01 -1.3391E+01  9.629E-01  1.4721E+01  1.0137E+01
 11.000 -7.4356E-01  3.9309E-01 -1.3168E+01  9.500E-01  1.6833E+01  1.1120E+01
 12.000 -1.0409E+00  4.3336E-01 -1.3029E+01  9.418E-01  1.9073E+01  1.2106E+01
 13.000 -1.3158E+00  4.8249E-01 -1.2994E+01  9.378E-01  2.1432E+01  1.3095E+01
 14.000 -1.5691E+00  5.2259E-01 -1.3030E+01  9.353E-01  2.3906E+01  1.4087E+01
 15.000 -1.8037E+00  5.4956E-01 -1.3106E+01  9.343E-01  2.6490E+01  1.5079E+01
 16.000 -2.0216E+00  5.6430E-01 -1.3213E+01  9.343E-01  2.9179E+01  1.6073E+01
 17.000 -2.2242E+00  5.6579E-01 -1.3346E+01  9.347E-01  3.1969E+01  1.7067E+01
 18.000 -2.4133E+00  5.5248E-01 -1.3497E+01  9.354E-01  3.4858E+01  1.8063E+01
 19.000 -2.5899E+00  5.2783E-01 -1.3659E+01  9.361E-01  3.7843E+01  1.9059E+01
 20.000 -2.7556E+00  4.9626E-01 -1.3830E+01  9.366E-01  4.0920E+01  2.0055E+01
