#---------------------------------
#  col1  col2  col3  col4  col5
  0.000000    3.163527    0.000000    22.890542    1.057236
  0.010000    1.054777    0.000000    14.567077    0.000000
  0.020000    3.163699    0.000000    19.770527    1.056870
  0.030000    4.218714    0.000000    14.567094    3.170269
  0.040000    0.000000    1.051041    13.526700    4.226503
  0.050000    0.000000    0.000000    18.728907    1.056857
  0.060000    1.054338    0.000000    23.930858    1.056929
  0.070000    3.163430    0.000000    14.566913    3.170647
  0.080000    0.000000    0.000000    17.688538    1.056857
  0.090000    0.000000    0.000000    10.405445    1.056622
  0.100000    1.054308    0.000000    17.688421    0.000000
  0.110000    0.000000    0.000000    21.851446    0.000000
  0.120000    0.000000    0.000000    22.893069    0.000000
  0.130000    0.000000    0.000000    15.606804    0.000000
  0.140000    0.000000    0.000000    14.566985    0.000000
  0.150000    0.000000    0.000000    11.445440    0.000000
  0.160000    0.000000    0.000000    15.607106    1.056614
  0.170000    0.000000    0.000000    10.404954    1.057100
  0.180000    1.054559    0.000000    16.647323    0.000000
  0.190000    0.000000    0.000000    13.526411    0.000000
  0.200000    0.000000    0.000000    21.850696    0.000000
  0.210000    0.000000    0.000000    14.566473    0.000000
  0.220000    0.000000    0.000000    18.729500    0.000000
  0.230000    0.000000    0.000000    17.689244    0.000000
  0.240000    0.000000    0.000000    14.566722    0.000000
  0.250000    0.000000    0.000000    11.445007    0.000000
  0.260000    0.000000    0.000000    18.729167    0.000000
  0.270000    0.000000    0.000000    14.566935    0.000000
  0.280000    0.000000    0.000000    18.729080    0.000000
  0.290000    0.000000    0.000000    17.689120    0.000000
  0.300000    0.000000    0.000000    9.363857    0.000000
  0.310000    0.000000    0.000000    7.283040    0.000000
  0.320000    0.000000    0.000000    8.324041    0.000000
  0.330000    0.000000    0.000000    12.486073    0.000000
  0.340000    0.000000    0.000000    9.365805    0.000000
  0.350000    0.000000    0.000000    10.405219    0.000000
  0.360000    0.000000    0.000000    12.485646    0.000000
  0.370000    0.000000    0.000000    6.242732    0.000000
  0.380000    0.000000    0.000000    8.324092    0.000000
  0.390000    0.000000    0.000000    7.283474    0.000000
  0.400000    1.054640    0.000000    12.485817    0.000000
  0.410000    1.054543    0.000000    1.040423    0.000000
  0.420000    0.000000    0.000000    7.282918    0.000000
  0.430000    0.000000    0.000000    6.242262    0.000000
  0.440000    0.000000    0.000000    5.202992    0.000000
  0.450000    0.000000    0.000000    6.243256    0.000000
