# XDI/1.0  GSE/1.0
# Beamline.name:  13-ID-E, GSECARS
# Monochromator.name:  Si(111), LN2 Cooled
# Monochromator.dspacing:  3.13477
# Facility.name: APS
# Facility.xray_source: 3.6 cm undulator
# Detectors.i0:  20cm ion chamber, He
# Detectors.ifluor:  Si SDD Vortex ME-4, 4 elements
# Detectors.ifluor_electronics:  Quantum Xspress3 3.1.10
# Column.1: energy eV
# Column.2: mufluor
# Column.3: i0
# Column.4: ifluor (corrected for deadtime)
# Column.5: ifluor_raw (not corrected)
# Column.7: itrans 
# Column.8: irefer 
# Scan.start_time: 2015-03-26 13:01:58
# ///
# summed fe_ka fluorescence data from FeXAFS_REL_Map1_spot4_V_Fe_Ca_Sr.002
# Dead-time correction applied
#---------------------------------
#        energy         mufluor         i0          fluor_dtc        fluor_raw        counttime        itrans         irefer 
      7109.809      0.59378583     273399.000     162340.45139      161106.00          1.000         15.000        -80.000
      7110.008      0.61646232     273431.000     168559.90778      167233.00          1.000         16.000        -80.000
      7110.198      0.64442933     273499.000     176250.77684      174799.00          1.000         15.000        -79.000
      7110.400      0.67848576     273296.000     185427.44493      183822.00          1.000         16.000        -79.000
      7110.606      0.71705703     273159.000     195870.58085      194080.00          1.000         15.000        -79.000
      7110.799      0.75987982     273315.000     207686.55273      205677.00          1.000         16.000        -79.000
      7111.002      0.82445794     273342.000     225358.98205      222997.00          1.000         15.000        -79.000
      7111.208      0.90442076     273347.000     247220.70156      244389.00          1.000         16.000        -79.000
      7111.411      1.00927690     273296.000     275831.34027      272314.00          1.000         16.000        -78.000
      7111.604      1.13151948     273255.000     309193.35517      304761.00          1.000         16.000        -78.000
      7111.790      1.26838996     273057.000     346342.75660      340807.00          1.000         16.000        -78.000
      7112.003      1.39705531     272811.000     381132.05631      374410.00          1.000         16.000        -79.000
      7112.205      1.50004949     272849.000     409287.00440      401554.00          1.000         16.000        -79.000
      7112.408      1.58016151     273138.000     431602.15345      423002.00          1.000         16.000        -79.000
      7112.604      1.63783251     273015.000     447152.84374      437915.00          1.000         16.000        -79.000
      7112.801      1.70252493     272906.000     464629.26727      454665.00          1.000         16.000        -79.000
      7113.000      1.79308828     273038.000     489581.23680      478526.00          1.000         16.000        -80.000
      7113.210      1.88908214     272853.000     515441.72841      503182.00          1.000         16.000        -80.000
      7113.403      1.97154137     272901.000     538035.61082      524669.00          1.000         16.000        -79.000
      7113.605      2.00263886     272853.000     546426.02072      532652.00          1.000         16.000        -79.000
      7113.802      1.98616053     272753.000     541731.24207      528164.00          1.000         16.000        -78.000
      7113.995      1.91415803     272481.000     521571.69305      508982.00          1.000         16.000        -78.000
      7114.204      1.82800871     272615.000     498342.59390      486848.00          1.000         16.000        -77.000
      7114.407      1.75332059     272762.000     478239.23130      467667.00          1.000         16.000        -78.000
      7114.610      1.70769375     272676.000     465647.10114      455627.00          1.000         16.000        -78.000
      7114.810      1.67994989     272807.000     458302.09006      448571.00          1.000         16.000        -79.000
      7115.000      1.67510513     272761.000     456903.35141      447239.00          1.000         16.000        -78.000
      7115.206      1.68404951     272557.000     458999.48231      449251.00          1.000         16.000        -78.000
      7115.406      1.70009587     272263.000     462873.20080      452954.00          1.000         16.000        -78.000
      7115.602      1.72576141     272311.000     469943.81505      459707.00          1.000         16.000        -77.000
      7115.815      1.75456103     272370.000     477889.78827      467312.00          1.000         16.000        -77.000
      7116.011      1.77549285     272526.000     483867.96541      472997.00          1.000         17.000        -75.000
      7116.211      1.81846279     272703.000     495900.25832      484500.00          1.000         16.000        -76.000
      7116.404      1.85931930     272221.000     506145.75984      494284.00          1.000         16.000        -77.000
