#XDI/1.1    Epics StepScan File / 2.0
# Scan.start_time: 2014-10-06 15:03:40
# Legend.Start: Column.N: Name  units || EpicsPV
# Column.1: Energy eV  ||  13IDE:En:Energy.VAL
# Column.2: Energy_readback eV  ||  13IDE:En:E_RBV.VAL
# Column.3: TSCALER counts  ||  13IDE:SIS1:mca1.VAL
# Column.4: I0 counts  ||  13IDE:SIS1:mca2.VAL
# Column.5: I1 counts  ||  13IDE:SIS1:mca3.VAL
# Column.6: I2 counts  ||  13IDE:SIS1:mca4.VAL
# Column.7: Ca_Ka_mca1 counts  ||  13QX4:C1_ROI1:ArrayData_RBV
# Column.8: Ca_Ka_mca2 counts  ||  13QX4:C2_ROI1:ArrayData_RBV
# Column.9: Ca_Ka_mca3 counts  ||  13QX4:C3_ROI1:ArrayData_RBV
# Column.10: Ca_Ka_mca4 counts  ||  13QX4:C4_ROI1:ArrayData_RBV
# Column.11: V_Ka_mca1 counts  ||  13QX4:C1_ROI2:ArrayData_RBV
# Column.12: V_Ka_mca2 counts  ||  13QX4:C2_ROI2:ArrayData_RBV
# Column.13: V_Ka_mca3 counts  ||  13QX4:C3_ROI2:ArrayData_RBV
# Column.14: V_Ka_mca4 counts  ||  13QX4:C4_ROI2:ArrayData_RBV
# Column.15: OCR_mca1 counts  ||  13QX4:C1_ROI3:ArrayData_RBV
# Column.16: OCR_mca2 counts  ||  13QX4:C2_ROI3:ArrayData_RBV
# Column.17: OCR_mca3 counts  ||  13QX4:C3_ROI3:ArrayData_RBV
# Column.18: OCR_mca4 counts  ||  13QX4:C4_ROI3:ArrayData_RBV
# Column.19: Clock_mca1 counts  ||  13QX4:C1_SCA0:ArrayData_RBV
# Column.20: Clock_mca2 counts  ||  13QX4:C2_SCA0:ArrayData_RBV
# Column.21: Clock_mca3 counts  ||  13QX4:C3_SCA0:ArrayData_RBV
# Column.22: Clock_mca4 counts  ||  13QX4:C4_SCA0:ArrayData_RBV
# Legend.End: here
# Scan.end_time: 2014-10-06 15:14:01
# ExtraPVs.Start: Family.Member: Value | PV
# Facility.Ring_Current: 101.8  ||  S:SRcurrentAI.VAL
# Facility.Ring_Lifetime: 8.5  ||  S:SRlifeTimeHrsCC.VAL
# Mono.dspacing: 3.13477  ||  13IDE:En:dspace.VAL
# Mono.height: 26.00000  ||  13IDE:En:height.VAL
# Beamline.I0_Sensitivity_Number: 5  ||  13IDE:A1sens_num.VAL
# Beamline.I0_Sensitivity_Units: nA/V  ||  13IDE:A1sens_unit.VAL
# ExtraPVs.End: here
# ------------------------
# Energy	Energy_readback	TSCALER	I0	I1	I2	Ca_Ka_mca1	Ca_Ka_mca2	Ca_Ka_mca3	Ca_Ka_mca4	V_Ka_mca1	V_Ka_mca2	V_Ka_mca3	V_Ka_mca4	OCR_mca1	OCR_mca2	OCR_mca3	OCR_mca4	Clock_mca1	Clock_mca2	Clock_mca3	Clock_mca4
    5460.300000     5460.300049  45000000.000000   177587.000000    64821.000000     8417.000000    39551.751969    40807.252997    40940.982922    46030.877435      395.917538      538.024708      566.339796      542.501769    57181.491389    60755.968203    60475.392648    64149.531895  71911482.000000  71911482.000000  71911482.000000  71911482.000000
    5460.400000     5460.399199  45000000.000000   177144.000000    64650.000000     8400.000000    39179.735508    41001.509232    40526.354430    46450.052308      368.570909      524.855525      563.330903      542.551548    57108.007454    60717.007801    60666.445924    64585.660081  71911486.000000  71911486.000000  71911486.000000  71911486.000000
    5460.500000     5460.500224  45000000.000000   177023.000000    64630.000000     8402.000000    39035.214747    40959.624092    40388.094392    46466.104433      408.009721      560.296917      599.765506      506.011548    56551.224955    60560.941286    60376.974149    64270.980551  71911472.000000  71911472.000000  71911472.000000  71911472.000000
    5460.600000     5460.601252  45000000.000000   176408.000000    64404.000000     8370.000000    39210.866656    40696.996923    40248.577327    46189.270720      375.621335      549.134533      593.663539      540.484784    56722.570421    60304.385096    60169.748746    64267.848900  71911483.000000  71911483.000000  71911483.000000  71911483.000000
    5460.700000     5460.696672  45000000.000000   176282.000000    64368.000000     8369.000000    39380.420479    40454.018742    40308.605520    45921.276174      458.679355      542.018200      567.333433      544.488467    57023.783596    60212.994999    60213.774616    63821.646121  71911483.000000  71911483.000000  71911483.000000  71911483.000000
    5460.800000     5460.801451  45000000.000000   175903.000000    64223.000000     8353.000000    39076.838703    40536.608046    40074.935668    45672.143087      361.454567      530.871813      546.998815      541.404579    56820.664468    60153.521524    59661.653356    63436.250381  71911493.000000  71911493.000000  71911493.000000  71911493.000000
    5460.900000     5460.902491  45000000.000000   175727.000000    64162.000000     8349.000000    39149.062107    40826.953845    40320.603773    46159.629043      418.142828      531.942070      567.308063      573.942148    56724.459923    60689.209676    60057.933596    64134.398291  71911480.000000  71911480.000000  71911480.000000  71911480.000000
    5461.000000     5460.999794  45000000.000000   176046.000000    64269.000000     8355.000000    39382.962255    40737.864807    40436.718673    46340.141979      394.884754      549.146319      615.960270      603.400078    56982.603051    60472.515611    60272.089736    64473.219053  71911485.000000  71911485.000000  71911485.000000  71911485.000000
    5461.100000     5461.100842  45000000.000000   175169.000000    63959.000000     8324.000000    38852.061583    40296.585510    40171.006486    45813.772623      422.154683      523.749638      610.866033      558.660287    56206.868093    59814.757900    59974.843335    63614.103102  71911481.000000  71911481.000000  71911481.000000  71911481.000000
    5461.200000     5461.198152  45000000.000000   174067.000000    63568.000000     8285.000000    38954.858625    40734.845574    39945.490560    45645.983956      372.583595      531.907769      600.681051      552.581691    56651.403601    60373.880768    59672.099873    63587.081370  71911481.000000  71911481.000000  71911481.000000  71911481.000000
