 Structure from AMSCIFDB, AMS_ID: 11535         Feff8L (EXAFS)       0.1
 Mineral Name: Stilleite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Note: ZnS structure, sphalerite structure
 Formula:    ZnSe
 SpaceGroup: F-43m
 # sites:    2
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=30 Rmt= 1.384 Rnm= 1.531 K  shell
 Pot 1 Z=34 Rmt= 1.437 Rnm= 1.591
 Pot 2 Z=30 Rmt= 1.385 Rnm= 1.534
 Gam_ch=1.897E+00 H-L exch
 Mu=-1.408E+00 kf=1.778E+00 Vint=-1.345E+01 Rs_int= 2.040
 PATH  Rmax= 6.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   4.000   2.4541    2.9641   -1.40827 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  30 Zn       absorbing atom
     1.4169    1.4169    1.4169  1  34 Se
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  6.500  1.9695E+00  6.8410E-01 -1.1456E+01  1.022E+00  9.3976E+00  6.6323E+00
  7.000  1.7330E+00  7.1458E-01 -1.1601E+01  1.002E+00  1.0321E+01  7.1164E+00
  7.500  1.5076E+00  7.3125E-01 -1.1748E+01  9.885E-01  1.1293E+01  7.6035E+00
  8.000  1.2883E+00  7.2531E-01 -1.1885E+01  9.778E-01  1.2307E+01  8.0928E+00
  8.500  1.0781E+00  7.0110E-01 -1.2010E+01  9.691E-01  1.3363E+01  8.5839E+00
  9.000  8.7828E-01  6.7042E-01 -1.2128E+01  9.615E-01  1.4458E+01  9.0763E+00
  9.500  6.9038E-01  6.4046E-01 -1.2245E+01  9.549E-01  1.5589E+01  9.5698E+00
 10.000  5.1274E-01  6.0790E-01 -1.2364E+01  9.489E-01  1.6755E+01  1.0064E+01
 11.000  1.7155E-01  5.2760E-01 -1.2590E+01  9.362E-01  1.9188E+01  1.1055E+01
 12.000 -1.4917E-01  4.5501E-01 -1.2806E+01  9.267E-01  2.1746E+01  1.2048E+01
 13.000 -4.4391E-01  3.8779E-01 -1.3025E+01  9.216E-01  2.4423E+01  1.3043E+01
 14.000 -7.1858E-01  3.2880E-01 -1.3239E+01  9.192E-01  2.7210E+01  1.4038E+01
 15.000 -9.7195E-01  2.8304E-01 -1.3442E+01  9.185E-01  3.0102E+01  1.5034E+01
 16.000 -1.2081E+00  2.4821E-01 -1.3643E+01  9.190E-01  3.3095E+01  1.6031E+01
 17.000 -1.4282E+00  2.2639E-01 -1.3866E+01  9.200E-01  3.6184E+01  1.7029E+01
 18.000 -1.6333E+00  2.0332E-01 -1.4128E+01  9.215E-01  3.9364E+01  1.8026E+01
 19.000 -1.8261E+00  1.7885E-01 -1.4392E+01  9.232E-01  4.2633E+01  1.9024E+01
 20.000 -2.0066E+00  1.5555E-01 -1.4664E+01  9.250E-01  4.5985E+01  2.0023E+01
