# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 59 s                         
#        20000.0          1.25          15.0           0.0 = E_edge, Gamma_hole, Gamma_max, E_cut                                                                                                                                                                        
#       0.69430           0.0 = Shift                                                                                                                                                                                            
    Energy    <xanes>    
    -0.200  3.6567798E-02
    -0.100  3.6942739E-02
     0.000  3.7318837E-02
     0.100  3.7696229E-02
     0.200  3.8075048E-02
     0.300  3.8455413E-02
     0.400  3.8837435E-02
     0.500  3.9221210E-02
     0.600  3.9606821E-02
     0.700  3.9994335E-02
     0.800  4.0383807E-02
     0.900  4.0775274E-02
     1.000  4.1168759E-02
     1.100  4.1564271E-02
     1.200  4.1961805E-02
     1.300  4.2361344E-02
     1.400  4.2762859E-02
     1.500  4.3166311E-02
     1.600  4.3571650E-02
     1.700  4.3978819E-02
     1.800  4.4387753E-02
     1.900  4.4798382E-02
     2.000  4.5210628E-02
     2.100  4.5624408E-02
     2.200  4.6039633E-02
     2.300  4.6456209E-02
     2.400  4.6874037E-02
     2.500  4.7293009E-02
     2.600  4.7713013E-02
     2.700  4.8133927E-02
     2.800  4.8555621E-02
     2.900  4.8977954E-02
     3.000  4.9400777E-02
     3.100  4.9823927E-02
     3.200  5.0247228E-02
     3.300  5.0670494E-02
     3.400  5.1093522E-02
     3.500  5.1516098E-02
     3.600  5.1937992E-02
     3.700  5.2358961E-02
     3.800  5.2778751E-02
     3.900  5.3197094E-02
     4.000  5.3613710E-02
     4.100  5.4028313E-02
     4.200  5.4440607E-02
     4.300  5.4850289E-02
     4.400  5.5257055E-02
     4.500  5.5660599E-02
     4.600  5.6060614E-02
     4.700  5.6456798E-02
     4.800  5.6848855E-02
     4.900  5.7236498E-02
     5.000  5.7619448E-02
     5.100  5.7997443E-02
     5.200  5.8370233E-02
     5.300  5.8737587E-02
     5.400  5.9099292E-02
     5.500  5.9455156E-02
     5.600  5.9805008E-02
     5.700  6.0148699E-02
     5.800  6.0486103E-02
     5.900  6.0817117E-02
     6.000  6.1141661E-02
     6.100  6.1459678E-02
     6.200  6.1771133E-02
     6.300  6.2076012E-02
     6.400  6.2374319E-02
     6.500  6.2666079E-02
     6.600  6.2951335E-02
     6.700  6.3230142E-02
     6.800  6.3502572E-02
     6.900  6.3768708E-02
     7.000  6.4028643E-02
     7.100  6.4282479E-02
     7.200  6.4530326E-02
     7.300  6.4772297E-02
     7.400  6.5008510E-02
     7.500  6.5239084E-02
     7.600  6.5464141E-02
     7.700  6.5683799E-02
     7.800  6.5898178E-02
     7.900  6.6107393E-02
     8.000  6.6311555E-02
     8.100  6.6510773E-02
     8.200  6.6705150E-02
     8.300  6.6894785E-02
     8.400  6.7079771E-02
     8.500  6.7260198E-02
     8.600  6.7436149E-02
     8.700  6.7607703E-02
     8.800  6.7774935E-02
     8.900  6.7937913E-02
     9.000  6.8096704E-02
     9.100  6.8251368E-02
     9.200  6.8401960E-02
     9.300  6.8548530E-02
     9.400  6.8691126E-02
     9.500  6.8829791E-02
     9.600  6.8964564E-02
     9.700  6.9095484E-02
     9.800  6.9222591E-02
     9.900  6.9345925E-02
    10.000  6.9465529E-02
    10.200  6.9693746E-02
    10.400  6.9907684E-02
    10.600  7.0107855E-02
    10.800  7.0294827E-02
    11.000  7.0469204E-02
    11.200  7.0631628E-02
    11.400  7.0782785E-02
    11.600  7.0923412E-02
    11.800  7.1054295E-02
    12.000  7.1176256E-02
    12.200  7.1290136E-02
    12.400  7.1396773E-02
    12.600  7.1496987E-02
    12.800  7.1591566E-02
    13.000  7.1681253E-02
    13.200  7.1766738E-02
    13.400  7.1848654E-02
    13.600  7.1927576E-02
    13.800  7.2004021E-02
    14.000  7.2078451E-02
    14.200  7.2151284E-02
    14.400  7.2222901E-02
    14.600  7.2293653E-02
    14.800  7.2363874E-02
    15.000  7.2433889E-02
    15.200  7.2504020E-02
    15.400  7.2574596E-02
    15.600  7.2645959E-02
    15.800  7.2718463E-02
    16.000  7.2792477E-02
    16.200  7.2868387E-02
    16.400  7.2946591E-02
    16.600  7.3027496E-02
    16.800  7.3111518E-02
    17.000  7.3199073E-02
    17.200  7.3290573E-02
    17.400  7.3386421E-02
    17.600  7.3487008E-02
    17.800  7.3592707E-02
    18.000  7.3703867E-02
    18.200  7.3820813E-02
    18.400  7.3943838E-02
    18.600  7.4073205E-02
    18.800  7.4209140E-02
    19.000  7.4351835E-02
    19.200  7.4501441E-02
    19.400  7.4658070E-02
    19.600  7.4821792E-02
    19.800  7.4992635E-02
    20.000  7.5170584E-02
    20.200  7.5355581E-02
    20.400  7.5547524E-02
    20.600  7.5746269E-02
    20.800  7.5951626E-02
    21.000  7.6163366E-02
    21.200  7.6381217E-02
    21.400  7.6604865E-02
    21.600  7.6833960E-02
    21.800  7.7068113E-02
    22.000  7.7306900E-02
    22.200  7.7549863E-02
    22.400  7.7796513E-02
    22.600  7.8046331E-02
    22.800  7.8298769E-02
    23.000  7.8553256E-02
    23.200  7.8809193E-02
    23.400  7.9065964E-02
    23.600  7.9322927E-02
    23.800  7.9579427E-02
    24.000  7.9834787E-02
    24.200  8.0088318E-02
    24.400  8.0339314E-02
    24.600  8.0587059E-02
    24.800  8.0830825E-02
    25.000  8.1069878E-02
    25.200  8.1303476E-02
    25.400  8.1530872E-02
    25.600  8.1751320E-02
    25.800  8.1964077E-02
    26.000  8.2168404E-02
    26.200  8.2363572E-02
    26.400  8.2548867E-02
    26.600  8.2723590E-02
    26.800  8.2887071E-02
    27.000  8.3038662E-02
    27.200  8.3177752E-02
    27.400  8.3303767E-02
    27.600  8.3416179E-02
    27.800  8.3514505E-02
    28.000  8.3598319E-02
    28.200  8.3667251E-02
