#XDI/1.1    Epics StepScan File / 2.0
# Scan.start_time: 2019-07-09 11:02:47
# Legend.Start: Column.N: Name  units || EpicsPV
# Column.1: Energy eV  ||  13IDE:En:Energy.VAL
# Column.2: TSCALER counts  ||  13IDE:SIS1:mca1
# Column.3: I0 counts  ||  13IDE:SIS1:mca2
# Column.4: I1 counts  ||  13IDE:SIS1:mca3
# Column.5: I2 counts  ||  13IDE:SIS1:mca4
# Column.6: Mn_Ka_mca1 counts  ||  13QX4:MCA1ROI:11:TSTotal
# Column.7: Mn_Ka_mca2 counts  ||  13QX4:MCA2ROI:11:TSTotal
# Column.8: Mn_Ka_mca3 counts  ||  13QX4:MCA3ROI:11:TSTotal
# Column.9: Mn_Ka_mca4 counts  ||  13QX4:MCA4ROI:11:TSTotal
# Column.10: OutputCounts_mca1 counts  ||  13QX4:MCA1ROI:1:TSTotal
# Column.11: OutputCounts_mca2 counts  ||  13QX4:MCA2ROI:1:TSTotal
# Column.12: OutputCounts_mca3 counts  ||  13QX4:MCA3ROI:1:TSTotal
# Column.13: OutputCounts_mca4 counts  ||  13QX4:MCA4ROI:1:TSTotal
# Column.14: Clock_mca1 counts  ||  13QX4:C1SCA0:TSArrayValue
# Column.15: Clock_mca2 counts  ||  13QX4:C2SCA0:TSArrayValue
# Column.16: Clock_mca3 counts  ||  13QX4:C3SCA0:TSArrayValue
# Column.17: Clock_mca4 counts  ||  13QX4:C4SCA0:TSArrayValue
# Column.18: DTFactor_mca1 counts  ||  13QX4:C1SCA8:TSArrayValue
# Column.19: DTFactor_mca2 counts  ||  13QX4:C2SCA8:TSArrayValue
# Column.20: DTFactor_mca3 counts  ||  13QX4:C3SCA8:TSArrayValue
# Column.21: DTFactor_mca4 counts  ||  13QX4:C4SCA8:TSArrayValue
# Legend.End: here
# Scan.end_time: 2019-07-09 11:06:31
# ExtraPVs.Start: Family.Member: Value | PV
# Beamline.FOE_Slit_HPos: 0.0500  ||  13IDA:m5.VAL
# Beamline.FOE_Slit_HWid: 0.7500  ||  13IDA:m6.VAL
# Beamline.FOE_Slit_VPos: -0.2000  ||  13IDA:m7.VAL
# Beamline.FOE_Slit_VWid: 0.2500  ||  13IDA:m8.VAL
# Beamline.FluxEstimate:    4.156e+12  ||  13XRM:ION:FluxOut.VAL
# Beamline.I0_Sensitivity_Number: 100  ||  13IDE:A1sens_num.VAL
# Beamline.I0_Sensitivity_Unit: nA/V  ||  13IDE:A1sens_unit.VAL
# Beamline.I1_Sensitivity_Number: 1  ||  13IDE:A2sens_num.VAL
# Beamline.I1_Sensitivity_Unit: nA/V  ||  13IDE:A2sens_unit.VAL
# Beamline.I2_Sensitivity_Number: 20  ||  13IDE:A3sens_num.VAL
# Beamline.I2_Sensitivity_Unit: nA/V  ||  13IDE:A3sens_unit.VAL
# Beamline.SSA_Slit_HPos: 0  ||  13IDA:m69.VAL
# Beamline.SSA_Slit_HWid: 0.1500  ||  13IDA:m70.VAL
# Beamline.SSA_Slit_VPos: 0.4000  ||  13IDA:m71.VAL
# Beamline.SSA_Slit_VWid: 0.4000  ||  13IDA:m72.VAL
# DetectorStage.X: 4050.0  ||  13IDE:m34.VAL
# DetectorStage.Y: 281.380  ||  13IDE:m4.VAL
# DetectorStage.Z: 75.0000  ||  13IDE:m19.VAL
# Facility.Ring_Current: 95.4  ||  S:SRcurrentAI.VAL
# Facility.Ring_Lifetime: 48.5  ||  S:SRlifeTimeHrsCC.VAL
# Mono.dspacing: 3.13477  ||  13IDE:En:dspace.VAL
# Mono.height: 25.30000  ||  13IDE:En:height.VAL
# Mono.theta_offset: 17.54928  ||  13IDA:m65.OFF
# Mono.xtal2_pitch: -0.1200  ||  13IDA:m67.VAL
# Mono.xtal2_rol: 1.0400  ||  13IDA:m68.VAL
# Mono.xtal2_y: 13.2754  ||  13IDA:m66.VAL
# Mono.xtal2_y_off: 11.6000  ||  13IDA:m66.OFF
# SampleStage.CoarseX: 53.35700  ||  13XRM:m4.VAL
# SampleStage.CoarseY: 77.0799  ||  13XRM:m5.VAL
# SampleStage.CoarseZ: 266.5444  ||  13XRM:m6.VAL
# SampleStage.FineX: 0.00299  ||  13XRM:m1.VAL
# SampleStage.FineY: 0.00200  ||  13XRM:m2.VAL
# SampleStage.Theta: 0  ||  13XRM:m3.VAL
# Undulator.Energy: 6.603  ||  ID13us:Energy.VAL
# Mono.Energy: 6520.00000  ||  13IDE:En:Energy.VAL
# ExtraPVs.End: here
# ScanParameters.Start: Scan.Member: Value
# ScanParameters.ScanType: xafs
# ScanParameters.element: Mn
# ScanParameters.edge: K
# ScanParameters.E0: 6539.000
# ScanParameters.Legend:  Start, Stop, Step, K-space, Time
# ScanParameters.Region1:   -150.000,   -10.000,     1.000  False  1.00
# ScanParameters.Region2:    -10.000,     9.999,     0.100  False  1.00
# ScanParameters.Region3:      1.620,    13.000,     0.051  True  1.00
# ScanParameters.End: here
# ///  Users Comments  ///
# 
# ------------------------
# Energy	TSCALER	I0	I1	I2	Mn_Ka_mca1	Mn_Ka_mca2	Mn_Ka_mca3	Mn_Ka_mca4	OutputCounts_mca1	OutputCounts_mca2	OutputCounts_mca3	OutputCounts_mca4	Clock_mca1	Clock_mca2	Clock_mca3	Clock_mca4	DTFactor_mca1	DTFactor_mca2	DTFactor_mca3	DTFactor_mca4
    6408.999195  49998722.000000  16542658.000000  16146650.000000        0.000000    10618.000000     9587.000000     9629.000000    11152.000000   229515.000000   210947.000000   220381.000000   268492.000000  79994067.000000  79994067.000000  79994067.000000  79994067.000000        1.144123        1.020944        1.047196        1.118205
    6409.996142  49998764.000000  16538953.000000  16162385.000000        0.000000    10692.000000     9695.000000     9764.000000    11212.000000   228220.000000   210777.000000   220901.000000   266409.000000  79994135.000000  79994135.000000  79994135.000000  79994135.000000        1.142969        1.020752        1.048658        1.122489
    6410.996047  49999028.000000  16513452.000000  16146865.000000        0.000000    10661.000000     9746.000000     9689.000000    11221.000000   228458.000000   211344.000000   220183.000000   267228.000000  79994557.000000  79994557.000000  79994557.000000  79994557.000000        1.148740        1.020731        1.045643        1.119179
    6411.994964  49998639.000000  16542250.000000  16194920.000000        0.000000    10955.000000     9937.000000     9805.000000    11315.000000   228581.000000   211251.000000   221471.000000   266649.000000  79993935.000000  79993935.000000  79993935.000000  79993935.000000        1.151888        1.020647        1.046014        1.118190
    6412.994209  49998734.000000  16542824.000000  16219439.000000        0.000000    10878.000000     9957.000000    10132.000000    11522.000000   229495.000000   211292.000000   220858.000000   267682.000000  79994087.000000  79994087.000000  79994087.000000  79994087.000000        1.144099        1.021160        1.046441        1.121524
    6413.999051  49998884.000000  16489935.000000  16183602.000000        0.000000    10963.000000    10050.000000    10075.000000    11777.000000   228418.000000   210501.000000   220143.000000   266543.000000  79994327.000000  79994327.000000  79994327.000000  79994327.000000        1.147740        1.020777        1.047817        1.120273
    6415.000271  49998764.000000  16510715.000000  16221676.000000        0.000000    11275.000000    10017.000000    10106.000000    11511.000000   229187.000000   211297.000000   219503.000000   266219.000000  79994135.000000  79994135.000000  79994135.000000  79994135.000000        1.143617        1.020447        1.054346        1.122933
    6416.000502  49999208.000000  16517550.000000  16245523.000000        0.000000    10962.000000    10097.000000    10075.000000    11644.000000   230471.000000   210998.000000   221881.000000   267073.000000  79994845.000000  79994845.000000  79994845.000000  79994845.000000        1.145855        1.021025        1.041982        1.120956
    6417.001061  49998487.000000  16529110.000000  16276305.000000        0.000000    11234.000000    10185.000000    10356.000000    12035.000000   229554.000000   212500.000000   221602.000000   267472.000000  79993691.000000  79993691.000000  79993691.000000  79993691.000000        1.145938        1.020971        1.045574        1.122438
    6418.000630  49998734.000000  16470297.000000  16246336.000000        0.000000    11478.000000    10222.000000    10175.000000    11944.000000   229351.000000   210858.000000   221831.000000   266307.000000  79994087.000000  79994087.000000  79994087.000000  79994087.000000        1.151144        1.020486        1.043995        1.121986
    6419.000527  49998764.000000  16532275.000000  16327953.000000        0.000000    11373.000000    10418.000000    10311.000000    11979.000000   230948.000000   212464.000000   221935.000000   267568.000000  79994135.000000  79994135.000000  79994135.000000  79994135.000000        1.144132        1.020932        1.044427        1.123387
    6419.999432  49998914.000000  16594197.000000  16417017.000000        0.000000    11676.000000    10221.000000    10402.000000    12311.000000   230820.000000   214224.000000   223271.000000   269575.000000  79994374.000000  79994374.000000  79994374.000000  79994374.000000        1.145830        1.020982        1.047494        1.118713
    6420.996024  49998734.000000  16564714.000000  16406294.000000        0.000000    11598.000000    10711.000000    10513.000000    12061.000000   231806.000000   213607.000000   223711.000000   268691.000000  79994087.000000  79994087.000000  79994087.000000  79994087.000000        1.149722        1.020837        1.040615        1.123576
    6421.995583  49998728.000000  16565462.000000  16426245.000000        0.000000    11673.000000    10821.000000    10682.000000    12208.000000   231026.000000   212601.000000   223464.000000   268650.000000  79994077.000000  79994077.000000  79994077.000000  79994077.000000        1.151545        1.020755        1.043412        1.125002
    6423.000754  49998800.000000  16639486.000000  16528399.000000        0.000000    11834.000000    10807.000000    11012.000000    12504.000000   231845.000000   214965.000000   226482.000000   269644.000000  79994192.000000  79994192.000000  79994192.000000  79994192.000000        1.154854        1.021155        1.034766        1.125315
    6424.000969  49998890.000000  16681126.000000  16592563.000000        0.000000    11898.000000    11052.000000    10744.000000    12555.000000   233341.000000   215579.000000   225937.000000   270028.000000  79994336.000000  79994336.000000  79994336.000000  79994336.000000        1.149420        1.021044        1.044059        1.125667
    6424.996225  49998752.000000  16738661.000000  16665086.000000        0.000000    12178.000000    11206.000000    11044.000000    12878.000000   234712.000000   216792.000000   226899.000000   272295.000000  79994116.000000  79994116.000000  79994116.000000  79994116.000000        1.146616        1.021463        1.044401        1.122367
    6425.995773  49998699.000000  16747648.000000  16692044.000000        0.000000    12268.000000    11026.000000    11163.000000    12694.000000   234439.000000   216209.000000   225149.000000   273942.000000  79994030.000000  79994030.000000  79994030.000000  79994030.000000        1.148582        1.021121        1.051878        1.121063
    6426.996971  49998902.000000  16752168.000000  16718828.000000        0.000000    12421.000000    11275.000000    11337.000000    13116.000000   234080.000000   217102.000000   226568.000000   274442.000000  79994356.000000  79994356.000000  79994356.000000  79994356.000000        1.150374        1.021047        1.044721        1.120726
    6427.997174  49998806.000000  16780842.000000  16764277.000000        0.000000    12463.000000    11547.000000    11121.000000    13316.000000   235175.000000   218131.000000   227617.000000   275046.000000  79994202.000000  79994202.000000  79994202.000000  79994202.000000        1.150185        1.021614        1.043836        1.119950
