#D Tue Jul 09 14:44:45 2019  
#S Scan 29; exafsscan 
#C exafs_edge_energy 6.539
#C exafs_region -200 -20 36 1 0 0 0
#C exafs_region -20 50 175 1 0 0 0
#C exafs_region 50 275 225 1 0 0 0
#C exafs_region 275 744.711 130 1 0 1 0.5  
#C 1_Energy (keV) 2_sec 3_mononrg 4_i0 5_i1 6_i2 7_i3 8_mu01 9_mu12 10_mu23 11_flatot 12_fla01 13_fla02 14_fla03 15_fla04 16_fla05 17_fla06 18_fla07 19_fla08 20_fla09 21_fla10 22_fla11 23_fla12 24_fla13 25_dt 26_TC1 
6.484 1 6.48399 197434 111671 138621 -40.6003 0.569849 -0.216189 0 12.0002 0 0 0 8.00016 0 0 0 0 0 4 0 0 0 0.00364967 0 
6.489 1 6.48899 197430 112716 140276 -38.6003 0.560514 -0.218743 0 15.0002 0 0 0 8.00016 0 1.00001 0 0 0 6 0 0 0 0.00364967 0 
6.494 1 6.49399 197447 113736 141779 -37.6003 0.551592 -0.220392 0 18.0002 0 0 0 10.0002 0 0 0 0 0 8 0 0 0 0.00379037 0 
6.499 1 6.49899 197478 114634 143268 -35.6003 0.543884 -0.222975 0 20.0002 0 0 0 10.0002 0 0 0 0 0 10 0 0 0 0.00378903 0 
6.504 1 6.50399 197390 115530 144648 -23.6003 0.535653 -0.224775 0 8.00011 0 0 0 5.0001 0 0 0 0 0 2 0 0 1.00001 0.00382874 0 
6.509 1 6.50899 197465 116419 145900 -25.6003 0.528367 -0.225728 0 16.0002 0 0 0 8.00017 0 0 0 0 0 8 0 0 0 0.00368479 0 
6.514 1 6.51399 197428 117011 146965 -18.6003 0.523107 -0.227929 0 11.0001 0 0 0 7.00014 0 0 0 0 0 4 0 0 0 0.0039927 0 
6.519 1 6.51899 197440 117436 147688 -6.60029 0.519543 -0.22921 0 12.0002 0 0 0 9.00018 0 0 0 0 0 3 0 0 0 0.00388057 0 
6.5194 1 6.51939 197412 117422 147786 -1.60029 0.51952 -0.229993 0 12.0003 0 0 0 8.00017 0 0 0 0 0 3.0001 0 0 1.00001 0.00388057 0 
6.5198 1 6.51979 197453 117511 147877 5.39971 0.51897 -0.229851 10.2178 15.0002 0 0 0 8.00015 0 0 0 0 0 7 0 0 0 0.00426482 0 
6.5202 1 6.52019 197486 117627 147864 8.39971 0.51815 -0.228776 9.77585 9.00011 0 0 0 5.00011 0 0 0 0 0 4 0 0 0 0.0035768 0 
6.5206 1 6.52059 197473 117619 147919 6.39971 0.518153 -0.229216 10.0482 15.0001 0 0 0 7.00015 0 0 0 0 0 8 0 0 0 0.00380769 0 
6.521 1 6.52099 197394 117545 147878 25.3997 0.518382 -0.229568 8.6694 18.0002 0 0 0 7.00015 0 0 0 0 0 10 0 0 1.00001 0.00372017 0 
6.5214 1 6.52139 197436 117530 147946 31.3997 0.518722 -0.230156 8.4578 8.00009 0 0 0 4.00009 0 0 0 0 0 4 0 0 0 0.00382479 0 
6.5218 1 6.52179 197440 117531 147892 27.3997 0.518734 -0.229782 8.5937 14.0001 0 0 0 7.00014 0 0 0 0 0 7 0 0 0 0.00382479 0 
6.5222 1 6.52219 197431 117493 147884 10.3997 0.519012 -0.230051 9.5624 9.00013 0 0 0 6.00013 0 0 0 0 0 3 0 0 0 0.00386853 0 
6.5226 1 6.52259 197481 117465 147895 12.3997 0.519503 -0.230364 9.38658 7.00005 0 0 0 3.00005 0 0 0 0 0 4 0 0 0 0.0037471 0 
6.523 1 6.52299 197405 117490 147824 13.3997 0.518906 -0.229671 9.30854 16.0002 0 0 0 11.0002 0 0 0 0 0 5 0 0 0 0.00343063 0 
6.5234 1 6.52339 197405 117498 147889 9.39971 0.518838 -0.230043 9.66354 11.0002 0 0 0 7.00014 0 0 0 0 0 3 0 0 1.00001 0.00380689 0 
6.5238 1 6.52379 197455 117519 147877 16.3997 0.518912 -0.229783 9.10687 16.0004 0 0 0 10.0002 0 0 0 0 0 6.00019 0 0 0 0.00381902 0 
6.5242 1 6.52419 197403 117549 147813 14.3997 0.518393 -0.229095 9.23649 10.0001 0 0 0 4.00009 0 0 0 0 0 6 0 0 0 0.00423805 0 
6.5246 1 6.52459 197427 117478 147807 -1.60029 0.519119 -0.229658 0 15.0002 0 0 0 10.0002 0 0 0 0 0 5 0 0 0 0.00375999 0 
6.525 1 6.52499 197443 117517 147852 -2.60029 0.518868 -0.229631 0 18.0002 0 0 0 12.0002 0 0 0 0 0 5 0 0 1 0.00387644 0 
6.5254 1 6.52539 197418 117425 147727 -6.60029 0.519525 -0.229568 0 14.0002 0 0 0 9.00014 0 0 0 0 0 4 0 0 1.00001 0.003705 0 
6.5258 1 6.52579 197444 117320 147736 -11.6003 0.520551 -0.230524 0 11.0001 0 0 0 6.00012 0 0 0 0 0 4 0 0 1.00001 0.00387067 0 
6.5262 1 6.52619 197453 117294 147662 -5.60029 0.520818 -0.230244 0 7.00008 0 0 0 4.00008 0 0 0 0 0 3 0 0 0 0.00374507 0 
