#F /buffer/ld0132/Exafs/USERS/ELKE/GeO2.dat
#E 1371554237
#D Fri Jun 28 13:38:56 2013
#C experiment  User = opd01
#O0  samplez    omegax    omegay  solidstate     minix     miniy     miniz     sl03t
#O1    sl03b     sl03r     sl03l     dummy     sl01t     sl01b    dummy1   sl01gap
#O2  sl01off      mono      whip      tab1      tab2      tab3       xti       yti
#O3      hgt   pdslide     sl02l     sl02r   shutter     sl02b  beamstop     theta
#O4    omega      xeye     difz1     difz2   diftilt    difhgt   samplex   sampley
#O5 Mono  piz  POWDERmono    m_vert     sl01l     sl01r    sl01hg    sl01ho     piezo
#O6    mtest   spinner     blow1     blow2  
#C Fri Jun 28 13:41:45 2013.  do ToEXAFS.mac.
#C Fri Jun 28 13:42:05 2013.  Monochromator moved to E = 11.1025 KeV.

#S 1  zapline mono 10.3073 9.89985 7244 100 
#D Fri Jun 28 13:44:15 2013
#T 100  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 1.25e-06 -0.19 -0.17 16 0.8 -5e-07 -7.5e-06 25.400002
#P1 19.900005 23.85 17.3 -127.466 38.224063 39.2 24.684375 77.424
#P2 -0.488 9.8998208 40 -1.1365 -0.95029948 -1.0415781 2.6600012 -0.01023379
#P3 -1.0424889 0.5 17.687812 -88.637812 0.99938125 -4.80094 -5 30.00001
#P4 0 30 2.46 2.46 0 2.46 -7.5e-07 0
#P5 78.623942 4.6116 -0.72625 47 35 82 6 0
#P6 7.573685 369 30 25 
#UMI0     Current AutoM      Shutter    
#UMI1      183.36    ON     FE open     
#UMI2 Refill in 26146 sec, Fill Mode: 7/8 multibunch / Message: Jun 28 09:04 Delivery:Next Refill at 21:00; 
#N 18
#L Mon    Det1  Det2  Det3  Det4  Det5  Det6  Ion1  MonEx  Ion2  Htime  MusstEnc1  MusstEnc3  MusstEnc4  TwoTheta  ZapEnergy  ZCryo  xmap_roi00
 11199 0 0 0 0 0 0 43579 11198 5488 100005 539412 598263 16 10.271746 11.087863 0 0
 11200 0 0 0 0 0 0 43524 11201 5484 99999 539228 598263 16 10.270825 11.088845 0 0
 11189 0 0 0 0 0 0 43485 11189 5481 99998 539045.5 598263 16 10.269914 11.08982 0 0
 11190 0 0 0 0 0 0 43456 11190 5483 100000 538863 598263 16 10.269001 11.090795 0 0
 11193 0 0 0 0 0 0 43408 11192 5481 99999 538683 598263 16 10.268101 11.091757 0 0
 11193 0 0 0 0 0 0 43339 11194 5473 100002 538504.5 598263 16 10.267208 11.09271 0 0
 11188 0 0 0 0 0 0 43283 11188 5469 99999 538322.5 598263 16 10.266298 11.093683 0 0
 11189 0 0 0 0 0 0 43175 11189 5458 100001 538138 598263 16 10.265376 11.094669 0 0
 11198 0 0 0 0 0 0 43092 11198 5453 100001 537955 598263 16 10.264461 11.095648 0 0
 11182 0 0 0 0 0 0 42976 11182 5442 99997 537775.5 598263 16 10.263563 11.096608 0 0
 11197 0 0 0 0 0 0 42865 11197 5432 100003 537598 598263 16 10.262676 11.097557 0 0
 11190 0 0 0 0 0 0 42699 11190 5409 100000 537418 598263 16 10.261776 11.09852 0 0
 11191 0 0 0 0 0 0 42525 11191 5399 100001 537234 598263 16 10.260856 11.099504 0 0
 11187 0 0 0 0 0 0 42275 11187 5367 100000 537051.5 598263 16 10.259943 11.100481 0 0
 11192 0 0 0 0 0 0 41986 11192 5339 99998 536870 598263 16 10.259036 11.101452 0 0
 11184 0 0 0 0 0 0 41606 11184 5294 100001 536691 598263 16 10.258141 11.10241 0 0
 11196 0 0 0 0 0 0 41168 11196 5241 100002 536512.5 598263 16 10.257248 11.103366 0 0
 11189 0 0 0 0 0 0 40527 11189 5167 100000 536331 598263 16 10.256341 11.104339 0 0
 11196 0 0 0 0 0 0 39690 11196 5070 100000 536149 598263 16 10.255431 11.105313 0 0
 11190 0 0 0 0 0 0 38409 11190 4923 100001 535967.5 598263 16 10.254523 11.106285 0 0
