  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
  16.21518  16.21510      2.00   3305504     20871
  16.21494  16.21490      2.00   3305605     20820
  16.21471  16.21480      2.00   3304529     20997
  16.21447  16.21440      2.00   3304350     20892
  16.21424  16.21420      2.00   3305383     20893
  16.21400  16.21400      2.00   3304156     20804
  16.21377  16.21380      2.00   3301733     20887
  16.21353  16.21350      2.00   3301683     20736
  16.21329  16.21330      2.00   3302013     20974
  16.21306  16.21300      2.00   3300073     20848
  16.21282  16.21290      2.00   3298734     20824
  16.21259  16.21260      2.00   3296142     20911
  16.21235  16.21240      2.00   3298283     20767
  16.21212  16.21210      2.00   3298613     20749
  16.21188  16.21200      2.00   3291528     20672
  16.21165  16.21160      2.00   3285239     20626
  16.21141  16.21130      2.00   3279191     20701
  16.21118  16.21120      2.00   3278490     20548
  16.21094  16.21090      2.00   3274874     20735
  16.21071  16.21070      2.00   3273894     20665
  16.21047  16.21050      2.00   3271655     20654
  16.21024  16.21020      2.00   3266969     20684
  16.21000  16.21000      2.00   3266976     20717
  16.20977  16.20980      2.00   3268770     20924
  16.20953  16.20950      2.00   3267700     20952
  16.20930  16.20930      2.00   3269812     20869
  16.20906  16.20910      2.00   3272649     20913
  16.20883  16.20880      2.00   3277505     20901
  16.20859  16.20860      2.00   3278420     20929
  16.20836  16.20830      2.00   3280722     20990
  16.20812  16.20820      2.00   3285289     20957
  16.20788  16.20790      2.00   3286848     20888
  16.20765  16.20770      2.00   3286151     20817
  16.20741  16.20750      2.00   3287380     20882
  16.20718  16.20710      2.00   3289833     20883
  16.20694  16.20700      2.00   3289284     20897
  16.20671  16.20670      2.00   3288434     20913
  16.20647  16.20660      2.00   3288938     20932
  16.20624  16.20620      2.00   3286789     20826
  16.20600  16.20600      2.00   3289296     20866
  16.20577  16.20570      2.00   3286441     20860
  16.20553  16.20560      2.00   3285237     20869
  16.20530  16.20520      2.00   3285803     20881
  16.20506  16.20510      2.00   3287402     20967
  16.20483  16.20480      2.00   3286893     20786
  16.20459  16.20450      2.00   3288420     21108
  16.20436  16.20440      2.00   3288516     21138
  16.20412  16.20410      2.00   3287828     20716
  16.20389  16.20380      2.00   3284198     20788
