# 1-D Scan File created by LabVIEW Control Panel  6/15/2018  8:14:19 PM; Scan time 0 hrs 10 min 2 sec. 
#
# Beamline 20 ID
#
# User Comment:
#
#
# Scan config:
#                 E0: 11867.00 eV   379 points
#        Scan bounds:  -150.00 -10.00 50.00 380.23 (9.99 (k))
#       Scan step(s):  10.00 0.20 0.10
#  Integration times:  1.00 1.00 1.00    kwgt in EXAFS region: 0.0
#
# Amplifier Sensitivities:
# Preslit: 50 nA/V  PreKB-I0: 1 nA/V  IT: 5 nA/V  Caldiode: 100 pA/V
#
# Analog Input Voltages at start/end of scan:
# Preslit: 1.121/1.119  PreKB-I0: 0.886/0.888  IT: 0.100/0.100  Caldiode: 0.247/0.248
#
# XIA Filters:
# 1X: OUT 2X: OUT 4X: OUT 8X: OUT
#
# Filters on XIA Shutter Unit:
# 1X: OUT 2X: OUT
#
# Mono Info:
#
#
# ID Info:
#
#
# Slit Info:
# KB Slits:  Center is at 3600.0 (H), 3500.0 (V)   Size is 150.0 wide x 150.0 high
# IDC Slits:  Center is at -1639.8 (H), 3279.9 (V)   Size is 100.0 wide x 150.0 high
#
# Motor Positions:
# AeroTechH (s20aerotech:m1): 8379.000000 AeroTechV (s20aerotech:m2): 15896.000000
#
# Detector Names/PVs:
# Preslit/20id:scaler2_netA.B  Caldiode/20id:scaler2_netA.F  PreKB-I0/20id:scaler2_netA.C  IT/20id:scaler2_netA.E  XMAP4:DT Corr I0 /20xmap4:DTCorrI0.VAL
# XMAP4:AsKa_Sum/20xmap4:dxpCalc1.VAL  XMAP4:FeKa_Sum/20xmap4:dxpCalc2.VAL  XMAP4:TiKa_Sum/20xmap4:dxpCalc3.VAL  XMAP4:MnKa_Sum/20xmap4:dxpCalc4.VAL  XMAP4:CuKa_Sum/20xmap4:dxpCalc5.VAL
# XMAP4:ZnKa_Sum/20xmap4:dxpCalc6.VAL  XMAP4:CrKa_Sum/20xmap4:dxpCalc8.VAL  XMAP4:NiKa_Sum/20xmap4:dxpCalc9.VAL  XMAP4:Total_Sum/20xmap4:dxpCalc16.VAL
#
# Positioner names/Drive PVs/Readback PVs:
# Mono Energy (alt) */20id:monoE.VAL/20id:AtoE.VAL  Scaler preset time */20id:scaler2.TP/  ID Gap */20id:ID20ds:ScanEnergy.VAL/ID20ds:Energy
# Here is a readable list of column headings:
#  1) Mono Energy (alt) *  11) XMAP4:TiKa_Sum
#  2) Scaler preset time * 12) XMAP4:MnKa_Sum
#  3) ID Gap *             13) XMAP4:CuKa_Sum
#  4) Preslit              14) XMAP4:ZnKa_Sum
#  5) Caldiode             15) XMAP4:CrKa_Sum
#  6) PreKB-I0             16) XMAP4:NiKa_Sum
#  7) IT                   17) XMAP4:Total_Sum
#  8) XMAP4:DT Corr I0
#  9) XMAP4:AsKa_Sum
# 10) XMAP4:FeKa_Sum
#
# Column Headings:
#Mono Energy (alt) *  Scaler preset time * ID Gap *             Preslit              Caldiode             PreKB-I0             IT                   XMAP4:DT Corr I0     XMAP4:AsKa_Sum       XMAP4:FeKa_Sum       XMAP4:TiKa_Sum       XMAP4:MnKa_Sum       XMAP4:CuKa_Sum       XMAP4:ZnKa_Sum       XMAP4:CrKa_Sum       XMAP4:NiKa_Sum       XMAP4:Total_Sum
       11716.98361094            1.00000000           11.85681248       142272.00000000        30444.40039062       115183.60156250           -0.80000001       114744.85937500          648.00000000         2900.00000000           29.00000000           29.00000000         1707.00000000          299.00000000           28.00000000         1056.00000000        20512.00000000
       11727.02362982            1.00000000           11.86698914       141556.00000000        30103.40039062       112172.60156250            1.20000005       111750.79687500          672.00000000         2760.00000000           25.00000000           23.00000000         1712.00000000          285.00000000           24.00000000         1008.00000000        20247.00000000
       11736.98525389            1.00000000           11.87677860       120107.00000000        25574.40039062        95659.60156250            0.20000000        95342.56250000          677.00000000         2483.00000000           15.00000000           18.00000000         1452.00000000          277.00000000           26.00000000          920.00000000        17825.00000000
       11747.01208087            1.00000000           11.88696480       140735.00000000        30484.40039062       112199.60156250           -1.79999995       111765.14843750          867.00000000         2799.00000000           18.00000000           30.00000000         1775.00000000          285.00000000           22.00000000         1082.00000000        20855.00000000
       11757.00820474            1.00000000           11.89711046       139979.00000000        30182.40039062       110910.60156250           -2.79999995       110488.11718750          982.00000000         2687.00000000           23.00000000           31.00000000         1633.00000000          291.00000000           22.00000000          977.00000000        20513.00000000
       11767.02160384            1.00000000           11.90696001       138855.00000000        30121.40039062       109299.60156250           -3.79999995       108879.49218750         1133.00000000         2900.00000000           24.00000000           30.00000000         1721.00000000          280.00000000           29.00000000          973.00000000        20700.00000000
       11777.00405666            1.00000000           11.91698456       137951.00000000        30040.40039062       109467.60156250           -2.79999995       109049.34375000         1251.00000000         2752.00000000           19.00000000           16.00000000         1610.00000000          281.00000000           27.00000000         1017.00000000        20576.00000000
       11787.00370729            1.00000000           11.92701483       136800.00000000        29819.40039062       107566.60156250           -0.80000001       107154.20312500         1385.00000000         2796.00000000           23.00000000           32.00000000         1610.00000000          293.00000000           27.00000000          976.00000000        20647.00000000
       11797.02059999            1.00000000           11.93700504       136062.00000000        29611.40039062       107293.60156250           -0.80000001       106883.17968750         1665.00000000         2706.00000000           22.00000000           23.00000000         1632.00000000          236.00000000           21.00000000          913.00000000        20600.00000000
       11807.00626326            1.00000000           11.94691181       134709.00000000        29561.40039062       106607.60156250           -0.80000001       106189.53125000         1953.00000000         2761.00000000           28.00000000           27.00000000         1647.00000000          284.00000000           20.00000000          952.00000000        21124.00000000
       11817.00909032            1.00000000           11.95707655       134335.00000000        29468.40039062       106841.60156250           -3.79999995       106411.12500000         2486.00000000         2717.00000000           30.00000000           39.00000000         1641.00000000          258.00000000           36.00000000          962.00000000        21709.00000000
       11826.98044267            1.00000000           11.96707344       133209.00000000        29472.40039062       106630.60156250           -2.79999995       106175.60156250         3225.00000000         2801.00000000           32.00000000           28.00000000         1594.00000000          285.00000000           32.00000000          947.00000000        23005.00000000
       11837.01764583            1.00000000           11.97686338       132699.00000000        29300.40039062       106535.60156250           -3.79999995       106046.89843750         4639.00000000         2809.00000000           24.00000000           36.00000000         1590.00000000          273.00000000           30.00000000          904.00000000        24751.00000000
       11847.02329516            1.00000000           11.98698854       131862.00000000        29310.40039062       103799.60156250           -0.80000001       103276.96875000         7104.00000000         2550.00000000           27.00000000           45.00000000         1505.00000000          289.00000000           27.00000000          812.00000000        27198.00000000
