#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
11144.180341403764 1510268 1465122 0.030348603069966965 1465122 119121 2.5095540111979684
11144.703900260485 1510131 1465051 0.030306347880939433 1465051 119162 2.5091614212719375
11145.177705627004 1509604 1464649 0.03023174145825606 1464649 119256 2.508098459332977
11145.720211625947 1509655 1464678 0.03024572481215795 1464678 119250 2.508168572302364
11146.169874620451 1509601 1464644 0.030233167973169106 1464644 119180 2.508732533189252
11159.55560083852 1509979 1465702 0.029761434859453855 1465702 118711 2.5133976196479266
11174.897598336693 1509780 1466541 0.02905737808096661 1466541 111575 2.575964835233831
11191.711752990124 1509566 1467287 0.0284070749145457 1467287 115844 2.53892593793565
11210.679156141414 1508238 1467253 0.027550136970854417 1467253 122481 2.4831913081632893
11231.493051247671 1508139 1468525 0.02661794471826134 1468525 119899 2.505364052952974
11254.075305818715 1497471 1459463 0.02570912536756926 1459463 115964 2.5325440407133137
11278.709044875697 1506227 1469367 0.02477615262503138 1469367 127620 2.4435298763476063
11305.230786456004 1501661 1466531 0.023672080822448868 1466531 124660 2.4650649955791493
11333.760086954373 1504231 1470827 0.02245697652635176 1470827 122032 2.4892968011932806
11364.422220026872 1502053 1470389 0.021305847370609646 1470389 134806 2.389445562742472
11396.786845999857 1499071 1469485 0.019933583637570765 1469485 129545 2.4286389671269903
11431.376233144676 1496965 1469487 0.018526364779392516 1469487 132847 2.403470549181788
11467.276101155938 1492977 1467726 0.017057848944049117 1467726 140192 2.348456631620611
11505.616485957466 1489390 1466637 0.015394615379998186 1466637 139556 2.3522613493607123
