# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 13 s                         
 20000.000   42  1  1     0.00000   -19.30749    -5.01332  1  1    19831.401  0.011948392     0.00000 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_Fermi, ninitl, ninit1, Epsii, Atom_density, f0_forward
    Energy    <xanes>    
     2.700  5.0090977E-02
     2.800  4.9956796E-02
     2.900  4.9482780E-02
     3.000  4.8795346E-02
     3.100  4.8036351E-02
     3.200  4.7337020E-02
     3.300  4.6807880E-02
     3.400  4.6537922E-02
     3.500  4.6597405E-02
     3.600  4.7041576E-02
     3.700  4.7913247E-02
     3.800  4.9239682E-02
     3.900  5.1014505E-02
     4.000  5.3153902E-02
     4.100  5.5435924E-02
     4.200  5.7496835E-02
     4.300  5.9000908E-02
     4.400  5.9904291E-02
     4.500  6.0478127E-02
     4.600  6.1051380E-02
     4.700  6.1818187E-02
     4.800  6.2841954E-02
     4.900  6.4127550E-02
     5.000  6.5666157E-02
     5.100  6.7449882E-02
     5.200  6.9473673E-02
     5.300  7.1720053E-02
     5.400  7.4118268E-02
     5.500  7.6522176E-02
     5.600  7.8749886E-02
     5.700  8.0656318E-02
     5.800  8.2168882E-02
     5.900  8.3275833E-02
     6.000  8.4003977E-02
     6.100  8.4406268E-02
     6.200  8.4544848E-02
     6.300  8.4464256E-02
     6.400  8.4171040E-02
     6.500  8.3642298E-02
     6.600  8.2853443E-02
     6.700  8.1808105E-02
     6.800  8.0557437E-02
     6.900  7.9200418E-02
     7.000  7.7866877E-02
     7.100  7.6693507E-02
     7.200  7.5804167E-02
     7.300  7.5297711E-02
     7.400  7.5242308E-02
     7.500  7.5669719E-02
     7.600  7.6563578E-02
     7.700  7.7839010E-02
     7.800  7.9325920E-02
     7.900  8.0779600E-02
     8.000  8.1939660E-02
     8.100  8.2616741E-02
     8.200  8.2749207E-02
     8.300  8.2395273E-02
     8.400  8.1682771E-02
     8.500  8.0758392E-02
     8.600  7.9758812E-02
     8.700  7.8798804E-02
     8.800  7.7969454E-02
     8.900  7.7339907E-02
     9.000  7.6960069E-02
     9.100  7.6861878E-02
     9.200  7.7060436E-02
     9.300  7.7553549E-02
     9.400  7.8320894E-02
     9.500  7.9323449E-02
     9.600  8.0504085E-02
     9.700  8.1789761E-02
     9.800  8.3094592E-02
     9.900  8.4326378E-02
    10.000  8.5394759E-02
    10.200  8.6766177E-02
    10.400  8.7024918E-02
    10.600  8.6580194E-02
    10.800  8.6028554E-02
    11.000  8.5810717E-02
    11.200  8.6158696E-02
    11.400  8.7072343E-02
    11.600  8.8279388E-02
    11.800  8.9373427E-02
    12.000  8.9604671E-02
    12.200  8.8794658E-02
    12.400  8.7039639E-02
    12.600  8.4731210E-02
    12.800  8.2289118E-02
    13.000  7.9986463E-02
    13.200  7.7973458E-02
    13.400  7.6367983E-02
    13.600  7.5288552E-02
    13.800  7.4824476E-02
    14.000  7.5000531E-02
    14.200  7.5769010E-02
    14.400  7.7016600E-02
    14.600  7.8573831E-02
    14.800  8.0236379E-02
    15.000  8.1809799E-02
    15.200  8.3151729E-02
    15.400  8.4188423E-02
    15.600  8.4895421E-02
    15.800  8.5265605E-02
    16.000  8.5286603E-02
    16.200  8.4938034E-02
    16.400  8.4213991E-02
    16.600  8.3144825E-02
    16.800  8.1800219E-02
    17.000  8.0278839E-02
    17.200  7.8694635E-02
    17.400  7.7163173E-02
    17.600  7.5791754E-02
    17.800  7.4672179E-02
    18.000  7.3876613E-02
    18.200  7.3451429E-02
    18.400  7.3407825E-02
    18.600  7.3711507E-02
    18.800  7.4274518E-02
    19.000  7.4954111E-02
    19.200  7.5568921E-02
    19.400  7.5933420E-02
    19.600  7.5909696E-02
    19.800  7.5451746E-02
    20.000  7.4617606E-02
    20.200  7.3541875E-02
    20.400  7.2390568E-02
    20.600  7.1324005E-02
    20.800  7.0474917E-02
    21.000  6.9938842E-02
    21.200  6.9771855E-02
    21.400  6.9987167E-02
    21.600  7.0560407E-02
    21.800  7.1441612E-02
    22.000  7.2569152E-02
    22.200  7.3881409E-02
    22.400  7.5323737E-02
    22.600  7.6850399E-02
    22.800  7.8423033E-02
    23.000  8.0008576E-02
    23.200  8.1576137E-02
    23.400  8.3095792E-02
    23.600  8.4542377E-02
    23.800  8.5896830E-02
    24.000  8.7146870E-02
    24.200  8.8286202E-02
    24.400  8.9313843E-02
    24.600  9.0231952E-02
    24.800  9.1041510E-02
    25.000  9.1746760E-02
    25.200  9.2361604E-02
    25.400  9.2919792E-02
    25.600  9.3477748E-02
    25.800  9.4108138E-02
    26.000  9.4888371E-02
    26.200  9.5888083E-02
    26.400  9.7158977E-02
    26.600  9.8736204E-02
    26.800  1.0064004E-01
    27.000  1.0287974E-01
    27.200  1.0545428E-01
    27.400  1.0834880E-01
    27.600  1.1153597E-01
    27.800  1.1497753E-01
    28.000  1.1862414E-01
    28.200  1.2242619E-01
    28.400  1.2632823E-01
    28.600  1.3025480E-01
    28.800  1.3407913E-01
    29.000  1.3759912E-01
    29.200  1.4054060E-01
    29.400  1.4259993E-01
    29.600  1.4352593E-01
    29.800  1.4319227E-01
    30.000  1.4164156E-01
    30.200  1.3907654E-01
    30.400  1.3580410E-01
    30.600  1.3215786E-01
    30.800  1.2843465E-01
    31.000  1.2484701E-01
    31.200  1.2151686E-01
    31.400  1.1848520E-01
    31.600  1.1573461E-01
    31.800  1.1321464E-01
    32.000  1.1086102E-01
    32.200  1.0855454E-01
    32.400  1.0633921E-01
    32.600  1.0409691E-01
    32.800  1.0177983E-01
    33.000  9.9362748E-02
    33.200  9.6849405E-02
    33.400  9.4271226E-02
    33.600  9.1678017E-02
    33.800  8.9124882E-02
    34.000  8.6660854E-02
    34.200  8.4322151E-02
    34.400  8.2132090E-02
    34.600  8.0100287E-02
    34.800  7.8225126E-02
    35.000  7.6495937E-02
    35.200  7.4896953E-02
    35.400  7.3411075E-02
    35.600  7.2023165E-02
    35.800  7.0720956E-02
    36.000  6.9497195E-02
    36.200  6.8350627E-02
    36.400  6.7284423E-02
    36.600  6.6304932E-02
    36.800  6.5420845E-02
    37.000  6.4642251E-02
    37.200  6.3979256E-02
    37.400  6.3441193E-02
    37.600  6.3035409E-02
    37.800  6.2767055E-02
    38.000  6.2639344E-02
    38.200  6.2653034E-02
    38.400  6.2806723E-02
    38.600  6.3096643E-02
    38.800  6.3515586E-02
    39.000  6.4052712E-02
    39.200  6.4693323E-02
    39.400  6.5418104E-02
    39.600  6.6205910E-02
    39.800  6.7033383E-02
    40.000  6.7876877E-02
    40.600  7.0270065E-02
    41.200  7.2008390E-02
    41.800  7.2658195E-02
    42.400  7.2257234E-02
    43.000  7.1313520E-02
    43.600  7.0349487E-02
    44.200  6.9539801E-02
    44.800  6.8665112E-02
    45.400  6.7525553E-02
    46.000  6.6221847E-02
    46.600  6.4867670E-02
    47.200  6.3468855E-02
    47.800  6.2041486E-02
    48.400  6.0639328E-02
    49.000  5.9423920E-02
    49.600  5.8656591E-02
    50.200  5.8576764E-02
    50.800  5.9306358E-02
    51.400  6.0856302E-02
    52.000  6.3171147E-02
    52.600  6.6172669E-02
    53.200  6.9831082E-02
    53.800  7.4274899E-02
    54.400  7.9742825E-02
    55.000  8.6356315E-02
    55.600  9.3877319E-02
    56.200  1.0159954E-01
    56.800  1.0857292E-01
    57.400  1.1412955E-01
    58.000  1.1821692E-01
    58.600  1.2114164E-01
    59.200  1.2311952E-01
    59.800  1.2411341E-01
    60.400  1.2394680E-01
    61.000  1.2245904E-01
    61.600  1.1964402E-01
    62.200  1.1575568E-01
    62.800  1.1123820E-01
    63.400  1.0653765E-01
    64.000  1.0198217E-01
    64.600  9.7765927E-02
    65.200  9.3947011E-02
    65.800  9.0482019E-02
    66.400  8.7288962E-02
    67.000  8.4318283E-02
    67.600  8.1600118E-02
    68.200  7.9227435E-02
    68.800  7.7287972E-02
    69.400  7.5808679E-02
    70.000  7.4761580E-02
    70.600  7.4094432E-02
    71.200  7.3755095E-02
    71.800  7.3694305E-02
    72.400  7.3884461E-02
    73.000  7.4328186E-02
    73.600  7.5060021E-02
    74.200  7.6129250E-02
    74.800  7.7560996E-02
    75.400  7.9303621E-02
    76.000  8.1176929E-02
    76.600  8.2874414E-02
    77.200  8.4047340E-02
    77.800  8.4457893E-02
    78.400  8.4100458E-02
    79.000  8.3194953E-02
    79.600  8.2055930E-02
    80.200  8.0959728E-02
    80.800  8.0090295E-02
    81.400  7.9551767E-02
    82.000  7.9382207E-02
    82.600  7.9570634E-02
    83.200  8.0062739E-02
    83.800  8.0764924E-02
    84.400  8.1560822E-02
    85.000  8.2332065E-02
    85.600  8.2982815E-02
    86.200  8.3469295E-02
    86.800  8.3803306E-02
    87.400  8.4041774E-02
    88.000  8.4265862E-02
    88.600  8.4558480E-02
    89.200  8.4985832E-02
    89.800  8.5592258E-02
    90.400  8.6398571E-02
    91.000  8.7408577E-02
    91.600  8.8611553E-02
    92.200  8.9975917E-02
    92.800  9.1445552E-02
    93.400  9.2937031E-02
    94.000  9.4352380E-02
    94.600  9.5598554E-02
    95.200  9.6604292E-02
    95.800  9.7324003E-02
    96.400  9.7747793E-02
    97.000  9.7891320E-02
    97.600  9.7790708E-02
    98.200  9.7490787E-02
    98.800  9.7035032E-02
    99.400  9.6459171E-02
   100.000  9.5787975E-02
   100.600  9.5036158E-02
   101.200  9.4211226E-02
   101.800  9.3324060E-02
   102.400  9.2386571E-02
   103.000  9.1403445E-02
   103.600  9.0362009E-02
   104.200  8.9227611E-02
   104.800  8.7958813E-02
   105.400  8.6537935E-02
   106.000  8.4993663E-02
   106.600  8.3391037E-02
   107.200  8.1803191E-02
   107.800  8.0282095E-02
   108.400  7.8852552E-02
   109.000  7.7523441E-02
   109.600  7.6298737E-02
   110.200  7.5184158E-02
   110.800  7.4187395E-02
   111.400  7.3312637E-02
   112.000  7.2560113E-02
   112.600  7.1927186E-02
   113.200  7.1406042E-02
   113.800  7.0984218E-02
   114.400  7.0645211E-02
   115.000  7.0372406E-02
   115.600  7.0155209E-02
   116.200  6.9992204E-02
   116.800  6.9890254E-02
   117.400  6.9857788E-02
   118.000  6.9898654E-02
   118.600  7.0015722E-02
   119.200  7.0213774E-02
   119.800  7.0504961E-02
