XDAC V1.4 Datafile V1
"Fe_trilayer.002" created on 6/27/11 at 2:22:40 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 7112.00
NUM_REGIONS= 4
SRB= -200 -20 30 60 13k
SRSS= 10 0.25 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 103.00 58.00 0.00 0.00 0.00 0.00 24.00 17.00 50.00 3391.00 10.00 10.00 8.00 19.00 89.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 9.00 1.00
Fe edge of Daniel's KCo hexacyanoferrate/KNi hexacyanochromate/KCo trilayer
N2 in I0, Vortex

--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    7094.25018     4407.0000     3698.0000      288.0000      192.0000      227.0000      162.0000     9956.0000    10358.0000    10503.0000     9380.0000    10018.0000    10407.0000    10542.0000    10107.0000    17698.0000        1.0000
    7094.50134     4415.0000     3705.0000      301.0000      199.0000      238.0000      180.0000     9972.0000    10343.0000    10580.0000     8768.0000    10008.0000    10381.0000    10630.0000    10194.0000    17726.0000        1.0000
    7094.74786     4418.0000     3707.0000      311.0000      199.0000      235.0000      200.0000    10174.0000    10300.0000    10763.0000     8410.0000    10229.0000    10340.0000    10839.0000    10204.0000    17743.0000        1.0000
    7094.99905     4414.0000     3706.0000      300.0000      222.0000      250.0000      206.0000     9949.0000    10304.0000    10621.0000     8626.0000    10001.0000    10328.0000    10692.0000    10082.0000    17738.0000        1.0000
    7095.25024     4416.0000     3707.0000      301.0000      222.0000      247.0000      178.0000    10002.0000    10429.0000    10646.0000     8278.0000    10059.0000    10463.0000    10708.0000     9978.0000    17737.0000        1.0000
    7095.50144     4414.0000     3705.0000      300.0000      236.0000      237.0000      202.0000     9954.0000    10492.0000    10592.0000     8974.0000     9998.0000    10518.0000    10651.0000    10120.0000    17733.0000        1.0000
    7095.74800     4416.0000     3707.0000      307.0000      211.0000      287.0000      183.0000    10035.0000    10179.0000    10571.0000     9117.0000    10077.0000    10207.0000    10611.0000    10131.0000    17743.0000        1.0000
    7095.99922     4415.0000     3708.0000      331.0000      233.0000      253.0000      189.0000     9892.0000    10550.0000    10418.0000     8303.0000     9951.0000    10581.0000    10471.0000    10052.0000    17747.0000        1.0000
    7096.25046     4407.0000     3700.0000      308.0000      247.0000      258.0000      184.0000    10024.0000    10309.0000    10508.0000     8173.0000    10078.0000    10349.0000    10563.0000    10146.0000    17712.0000        1.0000
    7096.50170     4414.0000     3707.0000      302.0000      225.0000      245.0000      195.0000     9935.0000    10170.0000    10584.0000     8949.0000     9978.0000    10184.0000    10610.0000    10004.0000    17743.0000        1.0000
