#1-D Scan File created  8/10/01  11:10 AM by LabVIEW Control Panel 
#
# User Comment:
# FeO 4 layers on tape
#
#
# Detector Names / PVs:
# I0/pncbm:scaler1_netA.B  I1/pncbm:scaler1_netA.C  If/pncbm:scaler1_netA.D  
#
# Positioner names/Drive PVs/Readback PVs:
# Mono Energy */pncbm:monoE.VAL/pncbm:EnctoE.VAL  Scaler preset time */pncbm:scaler1.TP/  
#
# Column Headings:
#Mono Energy *        Scaler preset time * I0                   I1                   If                   
        6911.76713008            1.00000000       280101.00000000       290366.18750000         -849.40002441 
        6916.87299944            1.00000000       278863.00000000       289977.18750000         -849.40002441 
        6921.70301263            1.00000000       278149.00000000       290136.18750000         -850.40002441 
        6926.83438126            1.00000000       277292.00000000       290103.18750000         -850.40002441 
        6931.73992367            1.00000000       265707.00000000       278595.18750000         -850.40002441 
        6936.98865026            1.00000000       286669.00000000       301917.18750000         -850.40002441 
        6941.78689041            1.00000000       285989.00000000       301961.18750000         -850.40002441 
        6946.87794329            1.00000000       284661.00000000       301519.18750000         -850.40002441 
        6951.91544365            1.00000000       284411.00000000       302120.18750000         -850.40002441 
        6956.94009478            1.00000000       283577.00000000       302167.18750000         -850.40002441 
        6961.96207762            1.00000000       283824.00000000       303265.18750000         -849.40002441 
        6966.86837136            1.00000000       283568.00000000       303950.18750000         -849.40002441 
        6971.91562095            1.00000000       283397.00000000       304638.18750000         -849.40002441 
        6976.85717967            1.00000000       283310.00000000       305481.18750000         -849.40002441 
        6981.99178014            1.00000000       283214.00000000       306229.18750000         -850.40002441 
        6986.87592815            1.00000000       283061.00000000       306938.18750000         -850.40002441 
        6991.93279289            1.00000000       282971.00000000       307721.18750000         -849.40002441 
        6996.91438513            1.00000000       283022.00000000       308670.18750000         -849.40002441 
        7001.85149068            1.00000000       282885.00000000       309435.18750000         -849.40002441 
        7006.99338190            1.00000000       282810.00000000       310281.18750000         -849.40002441 
        7011.84123622            1.00000000       282732.00000000       311023.18750000         -849.40002441 
        7016.94631902            1.00000000       282596.00000000       311819.18750000         -850.40002441 
        7021.87120590            1.00000000       282484.00000000       312561.18750000         -850.40002441 
        7026.87650899            1.00000000       282375.00000000       313268.18750000         -850.40002441 
        7031.97304389            1.00000000       282225.00000000       314010.18750000         -849.40002441 
        7036.83605802            1.00000000       282119.00000000       314744.18750000         -849.40002441 
        7041.89515711            1.00000000       282087.00000000       315530.18750000         -849.40002441 
        7046.85665250            1.00000000       282034.00000000       316357.18750000         -849.40002441 
        7051.82544355            1.00000000       282011.00000000       317160.18750000         -850.40002441 
        7056.89650058            1.00000000       281905.00000000       317924.18750000         -850.40002441 
        7061.83780601            1.00000000       281847.00000000       318600.18750000         -849.40002441 
        7066.75458672            1.00000000       281772.00000000       319289.18750000         -849.40002441 
        7071.80567378            1.00000000       281634.00000000       319901.18750000         -849.40002441 
        7076.74755271            1.00000000       281516.00000000       320463.18750000         -850.40002441 
        7081.68600830            1.00000000       281309.00000000       320876.18750000         -850.40002441 
        7086.79130996            1.00000000       281051.00000000       321085.18750000         -850.40002441 
        7091.53120795            1.00000000       280416.00000000       320763.18750000         -849.40002441 
        7096.55524727            1.00000000       277908.00000000       317955.18750000         -849.40002441 
        7101.56532968            1.00000000       240033.00000000       275002.18750000         -850.40002441 
        7101.93951203            1.00000000       247919.00000000       284665.18750000         -849.40002441 
        7102.28165756            1.00000000       257073.00000000       295257.18750000         -849.40002441 
        7102.69869388            1.00000000       270033.00000000       309588.18750000         -850.40002441 
        7103.19064846            1.00000000       279482.00000000       319436.18750000         -849.40002441 
        7103.63988641            1.00000000       282387.00000000       322348.18750000         -849.40002441 
        7104.00359859            1.00000000       283089.00000000       322984.18750000         -850.40002441 
        7104.28175763            1.00000000       283283.00000000       323081.18750000         -850.40002441 
        7104.62413837            1.00000000       283337.00000000       323013.18750000         -849.40002441 
        7105.09496803            1.00000000       283379.00000000       322744.18750000         -849.40002441 
        7105.52305143            1.00000000       283327.00000000       322572.18750000         -850.40002441 
        7105.87626070            1.00000000       283280.00000000       322305.18750000         -849.40002441 
        7106.24021155            1.00000000       283187.00000000       321923.18750000         -849.40002441 
        7106.57208294            1.00000000       283067.00000000       321655.18750000         -850.40002441 
        7107.06459680            1.00000000       283049.00000000       321220.18750000         -850.40002441 
        7107.52505451            1.00000000       282911.00000000       320690.18750000         -850.40002441 
        7107.94273272            1.00000000       282903.00000000       320311.18750000         -849.40002441 
        7108.31761568            1.00000000       282797.00000000       319777.18750000         -849.40002441 
        7108.59612684            1.00000000       282677.00000000       319226.18750000         -850.40002441 
        7108.97108162            1.00000000       282618.00000000       318402.18750000         -849.40002441 
        7109.50680281            1.00000000       282510.00000000       317071.18750000         -849.40002441 
        7109.93544033            1.00000000       282431.00000000       315273.18750000         -850.40002441 
        7110.27838912            1.00000000       282346.00000000       312986.18750000         -849.40002441 
        7110.62137239            1.00000000       282332.00000000       310103.18750000         -849.40002441 
        7111.00726977            1.00000000       282210.00000000       306109.18750000         -849.40002441 
        7111.46825996            1.00000000       282123.00000000       302147.18750000         -850.40002441 
        7111.91858956            1.00000000       282115.00000000       299642.18750000         -849.40002441 
        7112.35825435            1.00000000       282037.00000000       297501.18750000         -850.40002441 
        7112.66927097            1.00000000       281994.00000000       295744.18750000         -850.40002441 
        7112.93741148            1.00000000       281937.00000000       293845.18750000         -849.40002441 
        7113.37720753            1.00000000       281871.00000000       291801.18750000         -849.40002441 
        7113.82778907            1.00000000       281825.00000000       290459.18750000         -850.40002441 
