MRCAT_XAFS V0.4 Datafile
"Mn_MnO2_5B_kapton.002" created at APS 10BM on Tue Jul  9 15:35:15 2019 CDT
Ring energy= 7.00 GeV
E0= 6540.00
NUM_REGIONS= 1
SRB= 6390
SRSS= 0.35
SPP= 0.1
Settling time= 0


Offsets= 11317.00 11302.00 26173.00 14775.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 8.00 10.00 9.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
MnO2 5B kapton tape
3000 x 806
4 layers
------------------------------------------------------------------------------------------------
   energy       Io       It     Iref       If 
 6434.8148  63960 58240 123830 -10
 6435.109   63940 58250 123630 -10
 6435.4049  64000 58300 123640 -10
 6435.7008  63900 58230 123390 0
 6435.9933  63970 58320 123840 0
 6436.2858  64000 58340 124000 0
 6436.5784  64030 58430 124280 -10
 6436.8744  63970 58360 124330 0
 6437.1723  64080 58510 124600 -10
 6437.4719  64060 58490 124810 0
 6437.7697  64100 58520 124770 -20
 6438.0677  64080 58570 125000 -20
 6438.3673  64050 58550 125040 10
 6438.6653  64090 58580 124970 0
 6438.9633  64060 58610 125310 10
 6439.2613  64090 58630 124970 0
 6439.5594  64100 58620 125580 0
 6439.8558  64110 58660 125770 -10
 6440.1521  64110 58670 125730 -10
 6440.4485  64150 58740 125690 0
 6440.745   64120 58790 125940 -20
 6441.0414  64230 58890 126400 0
 6441.3379  64160 58850 126400 -10
 6441.6309  64200 58870 126440 0
 6441.9275  64210 58910 126270 0
 6442.2241  64210 58940 126500 -30
 6442.5207  64260 58970 126620 -10
 6442.819   64220 58990 126820 10
 6443.1157  64280 59030 127190 10
 6443.4106  64260 59080 127020 10
 6443.7091  64330 59130 126960 0
 6444.0111  64280 59160 126960 -10
 6444.3114  64270 59130 127080 0
 6444.6117  64300 59190 127550 -10
 6444.9102  64380 59250 127730 -10
 6445.2106  64280 59180 127630 10
 6445.5092  64380 59350 127870 -20
