  9809     KEK-PF   BL12C
 G:hgcys-11.001  07.05.12 23:28 - 07.05.12 23:55
 Hg:H2Cys 1:2 pH = 12.86, 100 mM, prep. at PF, 5 mm Teflon, stirred 4 hrs        
 Ring :   2.5 GeV   348.8 mA -  342.8 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  9.25969 deg
 BL12C     Transmission( 2)   Repetition=  6     Points=  818
 Param file : A:hgk16         energy axis(2)     Block =    6

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1       12049.00  12150.00         6.00       1.00        17
     2       12150.00  12320.00          .35       1.00       486
     3       12320.00  12400.00         1.00       2.00        80
     4       12400.00  12600.00         2.50       3.00        80
     5       12600.00  13040.00         4.00       3.00       110
     6       13040.00  13260.00         5.00       4.00        45
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
   9.33444   9.33610      1.00    250790    667698
   9.33419   9.33590      1.00    251256    669111
   9.33392   9.33560      1.00    251247    669338
   9.33364   9.33530      1.00    251283    669615
   9.33336   9.33510      1.00    251258    669754
   9.33311   9.33480      1.00    251304    670006
   9.33283   9.33460      1.00    251339    670302
   9.33256   9.33440      1.00    250986    669568
   9.33228   9.33400      1.00    250358    668100
   9.33203   9.33390      1.00    249407    665693
   9.33175   9.33360      1.00    249261    665485
   9.33147   9.33340      1.00    249281    665702
   9.33122   9.33310      1.00    249413    666222
   9.33094   9.33290      1.00    249429    666524
   9.33067   9.33250      1.00    249478    666802
   9.33039   9.33220      1.00    249163    666219
   9.33014   9.33210      1.00    249010    665960
   9.32986   9.33180      1.00    249199    666668
   9.32958   9.33150      1.00    249085    666537
   9.32931   9.33120      1.00    249183    667008
   9.32906   9.33100      1.00    249135    667022
   9.32878   9.33070      1.00    249469    668151
   9.32850   9.33050      1.00    249603    668678
   9.32825   9.33030      1.00    249326    668107
   9.32797   9.32990      1.00    249559    668933
   9.32769   9.32970      1.00    249055    667784
   9.32742   9.32950      1.00    249020    667906
   9.32717   9.32920      1.00    248648    667047
   9.32689   9.32890      1.00    248272    666235
   9.32661   9.32860      1.00    248213    666257
   9.32633   9.32830      1.00    248305    666725
   9.32608   9.32820      1.00    248010    666065
   9.32581   9.32790      1.00    247645    665278
   9.32553   9.32760      1.00    247540    665209
   9.32528   9.32750      1.00    247465    665136
   9.32500   9.32720      1.00    247891    666530
   9.32472   9.32690      1.00    247931    666806
   9.32444   9.32660      1.00    247473    665801
   9.32419   9.32640      1.00    247517    666060
   9.32392   9.32610      1.00    247809    667042
   9.32364   9.32590      1.00    247898    667462
   9.32339   9.32560      1.00    247383    666287
   9.32311   9.32540      1.00    247567    666975
   9.32283   9.32510      1.00    247605    667217
   9.32256   9.32480      1.00    247370    666800
   9.32231   9.32460      1.00    246745    665205
   9.32203   9.32440      1.00    247252    666811
   9.32175   9.32410      1.00    247592    667884
   9.32150   9.32390      1.00    247869    668839
   9.32122   9.32360      1.00    248192    669926
   9.32094   9.32330      1.00    247873    669266
   9.32069   9.32310      1.00    247705    668961
   9.32042   9.32280      1.00    247366    668222
   9.32014   9.32250      1.00    247287    668143
   9.31986   9.32230      1.00    246869    667225
   9.31961   9.32200      1.00    246726    667003
   9.31933   9.32170      1.00    247029    668031
   9.31906   9.32150      1.00    246827    667684
   9.31881   9.32130      1.00    246958    668211
   9.31853   9.32100      1.00    247210    669076
   9.31825   9.32080      1.00    247401    669753
   9.31800   9.32050      1.00    247931    671410
   9.31772   9.32020      1.00    248065    671917
   9.31744   9.32010      1.00    248774    674031
   9.31717   9.31980      1.00    249366    675885
   9.31692   9.31950      1.00    249392    676160
   9.31664   9.31920      1.00    249700    677158
   9.31636   9.31900      1.00    250063    678342
   9.31611   9.31880      1.00    249919    678144
   9.31583   9.31850      1.00    250135    678916
   9.31556   9.31820      1.00    250507    680092
   9.31531   9.31800      1.00    249831    678422
   9.31503   9.31770      1.00    250242    679747
   9.31475   9.31750      1.00    250421    680396
   9.31447   9.31720      1.00    250108    679760
   9.31422   9.31700      1.00    250300    680428
   9.31394   9.31680      1.00    250653    681561
   9.31367   9.31650      1.00    250519    681392
   9.31342   9.31620      1.00    251210    683406
   9.31314   9.31590      1.00    251710    685088
   9.31286   9.31560      1.00    252329    686902
   9.31261   9.31540      1.00    253199    689429
   9.31233   9.31510      1.00    253389    690209
   9.31206   9.31490      1.00    254225    692650
   9.31181   9.31470      1.00    254970    694881
   9.31153   9.31440      1.00    255393    696216
   9.31125   9.31420      1.00    255792    697583
   9.31097   9.31390      1.00    256098    698548
   9.31072   9.31370      1.00    256398    699575
   9.31044   9.31340      1.00    256644    700432
   9.31017   9.31320      1.00    257117    701873
   9.30992   9.31290      1.00    257301    702529
   9.30964   9.31260      1.00    257276    702644
   9.30936   9.31230      1.00    257069    702326
   9.30911   9.31210      1.00    256965    702162
   9.30883   9.31180      1.00    257363    703468
   9.30856   9.31160      1.00    257204    703190
   9.30831   9.31130      1.00    257002    702737
   9.30803   9.31100      1.00    256861    702629
   9.30775   9.31080      1.00    256296    701180
   9.30750   9.31050      1.00    256445    701808
   9.30722   9.31030      1.00    256220    701339
   9.30694   9.31000      1.00    255809    700394
   9.30669   9.30980      1.00    255926    700834
   9.30642   9.30960      1.00    255736    700474
   9.30614   9.30930      1.00    255445    699848
   9.30589   9.30910      1.00    254993    698766
   9.30561   9.30870      1.00    254926    698721
   9.30533   9.30860      1.00    255069    699329
   9.30508   9.30830      1.00    254607    698189
   9.30481   9.30800      1.00    254248    697399
   9.30453   9.30780      1.00    254405    697959
   9.30428   9.30750      1.00    254003    697014
   9.30400   9.30730      1.00    253239    695055
   9.30372   9.30690      1.00    252987    694465
   9.30344   9.30670      1.00    252444    693170
   9.30319   9.30650      1.00    251982    691980
   9.30292   9.30610      1.00    251693    691363
   9.30264   9.30590      1.00    250957    689472
   9.30239   9.30560      1.00    250410    688102
   9.30211   9.30540      1.00    250095    687387
   9.30183   9.30510      1.00    249261    685262
   9.30158   9.30490      1.00    248127    682242
   9.30131   9.30470      1.00    248417    683188
   9.30103   9.30440      1.00    248323    683116
   9.30078   9.30420      1.00    247669    681427
   9.30050   9.30400      1.00    247632    681496
   9.30022   9.30370      1.00    247489    681215
   9.29997   9.30340      1.00    246645    678983
   9.29969   9.30320      1.00    246126    677734
   9.29944   9.30290      1.00    245959    677347
   9.29917   9.30260      1.00    245645    676691
   9.29889   9.30240      1.00    245277    675789
   9.29864   9.30220      1.00    245021    675188
   9.29836   9.30190      1.00    244642    674279
   9.29808   9.30160      1.00    244279    673386
   9.29783   9.30140      1.00    243874    672437
   9.29756   9.30110      1.00    242991    670079
   9.29728   9.30080      1.00    242584    669111
   9.29703   9.30060      1.00    242148    668017
   9.29675   9.30040      1.00    241891    667398
   9.29647   9.30010      1.00    241096    665304
   9.29622   9.29990      1.00    240131    662753
   9.29594   9.29960      1.00    239880    662179
   9.29567   9.29940      1.00    238860    659427
   9.29542   9.29910      1.00    237899    656930
   9.29514   9.29890      1.00    237680    656395
   9.29486   9.29860      1.00    236903    654275
   9.29461   9.29840      1.00    236686    653846
   9.29433   9.29800      1.00    235986    652033
   9.29406   9.29790      1.00    236187    652684
   9.29381   9.29760      1.00    236054    652441
   9.29353   9.29730      1.00    235923    652180
   9.29325   9.29710      1.00    235851    652096
   9.29300   9.29680      1.00    236234    653277
   9.29272   9.29660      1.00    236941    655308
   9.29244   9.29630      1.00    237557    657182
   9.29219   9.29600      1.00    236883    655381
   9.29192   9.29580      1.00    236564    654586
   9.29167   9.29550      1.00    235999    653063
   9.29139   9.29530      1.00    236105    653487
   9.29111   9.29500      1.00    235944    653134
   9.29086   9.29480      1.00    235721    652546
   9.29058   9.29460      1.00    235740    652711
   9.29031   9.29430      1.00    235820    652981
   9.29006   9.29410      1.00    235200    651365
   9.28978   9.29380      1.00    235754    652957
   9.28950   9.29360      1.00    235800    653157
   9.28925   9.29340      1.00    235911    653499
   9.28897   9.29310      1.00    236078    654051
   9.28869   9.29280      1.00    236535    655412
   9.28844   9.29250      1.00    236951    656600
   9.28817   9.29230      1.00    237386    657909
   9.28792   9.29210      1.00    238000    659683
   9.28764   9.29170      1.00    238035    659847
   9.28736   9.29150      1.00    238727    661852
   9.28711   9.29130      1.00    238515    661336
   9.28683   9.29100      1.00    238634    661697
   9.28656   9.29070      1.00    238163    660383
   9.28631   9.29060      1.00    238425    661146
   9.28603   9.29020      1.00    238354    661002
   9.28575   9.29000      1.00    238826    662362
   9.28550   9.28970      1.00    238445    661351
   9.28522   9.28950      1.00    238696    662090
   9.28497   9.28930      1.00    238068    660364
   9.28469   9.28900      1.00    238732    662257
   9.28442   9.28880      1.00    238287    660987
   9.28417   9.28850      1.00    238731    662262
   9.28389   9.28820      1.00    238532    661678
   9.28361   9.28800      1.00    238361    661259
   9.28336   9.28770      1.00    237997    660240
   9.28308   9.28750      1.00    238190    660776
   9.28283   9.28730      1.00    238096    660511
   9.28256   9.28700      1.00    238169    660673
   9.28228   9.28680      1.00    238175    660667
   9.28203   9.28650      1.00    238211    660753
   9.28175   9.28630      1.00    238671    661996
   9.28147   9.28590      1.00    238585    661684
   9.28122   9.28570      1.00    238244    660690
   9.28094   9.28540      1.00    238283    660747
   9.28069   9.28520      1.00    238184    660417
   9.28042   9.28500      1.00    238690    661791
   9.28014   9.28460      1.00    238145    660196
   9.27989   9.28450      1.00    237857    659275
   9.27961   9.28420      1.00    238055    659720
   9.27933   9.28400      1.00    238077    659713
   9.27908   9.28370      1.00    237978    659305
   9.27881   9.28350      1.00    238066    659409
   9.27856   9.28320      1.00    238063    659315
   9.27828   9.28300      1.00    238028    659064
   9.27800   9.28280      1.00    237516    657466
   9.27775   9.28250      1.00    237624    657580
   9.27747   9.28220      1.00    237614    657419
   9.27719   9.28190      1.00    237621    657230
   9.27694   9.28170      1.00    237735    657424
   9.27667   9.28140      1.00    237720    657185
   9.27642   9.28120      1.00    237824    657247
   9.27614   9.28090      1.00    238091    657708
   9.27586   9.28060      1.00    238382    658284
   9.27561   9.28050      1.00    238217    657591
   9.27533   9.28020      1.00    238459    657966
   9.27508   9.28000      1.00    238798    658617
   9.27481   9.27980      1.00    238806    658362
   9.27453   9.27940      1.00    238921    658294
   9.27428   9.27920      1.00    239258    658874
   9.27400   9.27890      1.00    239350    658780
   9.27375   9.27870      1.00    239420    658596
   9.27347   9.27850      1.00    239517    658493
   9.27319   9.27820      1.00    239635    658298
   9.27294   9.27800      1.00    239551    657625
   9.27267   9.27770      1.00    239482    656933
   9.27242   9.27750      1.00    238823    654659
   9.27214   9.27730      1.00    238892    654302
   9.27186   9.27690      1.00    238444    652385
   9.27161   9.27680      1.00    238126    650946
   9.27133   9.27640      1.00    238481    651169
   9.27106   9.27610      1.00    238428    650442
   9.27081   9.27600      1.00    238136    648888
   9.27053   9.27560      1.00    238572    649203
   9.27028   9.27540      1.00    238706    648841
   9.27000   9.27520      1.00    239372    649676
   9.26972   9.27490      1.00    240391    651582
   9.26947   9.27460      1.00    240520    650912
   9.26919   9.27440      1.00    240461    649765
   9.26894   9.27420      1.00    240772    649423
   9.26867   9.27390      1.00    240991    648645
   9.26839   9.27370      1.00    240660    646517
   9.26814   9.27350      1.00    240512    644737
   9.26786   9.27320      1.00    240740    643905
   9.26761   9.27300      1.00    240844    642508
   9.26733   9.27260      1.00    239907    638132
   9.26708   9.27240      1.00    239826    636351
   9.26681   9.27210      1.00    240279    635360
   9.26653   9.27190      1.00    240483    633833
   9.26628   9.27160      1.00    240210    630839
   9.26600   9.27140      1.00    240768    629851
   9.26575   9.27110      1.00    240866    627461
   9.26547   9.27080      1.00    241014    624600
   9.26519   9.27060      1.00    241513    622735
   9.26494   9.27040      1.00    241607    619571
   9.26467   9.27010      1.00    241978    616764
   9.26442   9.26990      1.00    242317    613409
   9.26414   9.26950      1.00    241911    607255
   9.26386   9.26930      1.00    241639    601701
   9.26361   9.26910      1.00    241628    595980
   9.26333   9.26880      1.00    241551    589892
   9.26308   9.26850      1.00    241731    583519
   9.26281   9.26830      1.00    241739    576204
   9.26253   9.26810      1.00    241412    567252
   9.26228   9.26780      1.00    241445    558210
   9.26200   9.26760      1.00    241250    547838
   9.26175   9.26740      1.00    241237    537015
   9.26147   9.26710      1.00    240816    524137
   9.26122   9.26680      1.00    240279    510464
   9.26094   9.26660      1.00    240344    495545
   9.26067   9.26630      1.00    240356    481096
   9.26042   9.26600      1.00    239898    465784
   9.26014   9.26580      1.00    239797    450871
   9.25989   9.26550      1.00    239924    436668
   9.25961   9.26530      1.00    240039    421449
   9.25936   9.26500      1.00    239596    408802
   9.25908   9.26470      1.00    239796    395883
   9.25881   9.26450      1.00    239997    385498
   9.25856   9.26420      1.00    240269    376658
   9.25828   9.26400      1.00    240615    369065
   9.25803   9.26380      1.00    240709    362642
   9.25775   9.26350      1.00    240956    356843
   9.25747   9.26330      1.00    240960    352176
   9.25722   9.26310      1.00    240733    347928
   9.25694   9.26280      1.00    240899    344504
   9.25669   9.26250      1.00    241069    341200
   9.25642   9.26220      1.00    240581    336407
   9.25617   9.26200      1.00    240281    332388
   9.25589   9.26170      1.00    240359    327639
   9.25561   9.26140      1.00    240570    323119
   9.25536   9.26130      1.00    240745    318129
   9.25508   9.26090      1.00    240527    312205
   9.25483   9.26080      1.00    240614    307123
   9.25456   9.26050      1.00    240486    300257
   9.25431   9.26030      1.00    240327    294931
   9.25403   9.25990      1.00    240731    288758
   9.25375   9.25980      1.00    241106    283650
   9.25350   9.25940      1.00    241435    278584
   9.25322   9.25920      1.00    242001    273490
   9.25297   9.25890      1.00    242276    269643
   9.25269   9.25870      1.00    242774    265286
   9.25244   9.25850      1.00    242960    262055
   9.25217   9.25820      1.00    243325    258443
   9.25192   9.25790      1.00    243494    255582
   9.25164   9.25770      1.00    243838    253059
   9.25136   9.25750      1.00    244106    250527
   9.25111   9.25720      1.00    244647    249102
   9.25083   9.25700      1.00    245004    247092
   9.25058   9.25670      1.00    244522    245006
   9.25031   9.25650      1.00    244602    243279
   9.25006   9.25620      1.00    244565    241553
   9.24978   9.25590      1.00    244188    239576
   9.24950   9.25560      1.00    243674    237412
   9.24925   9.25540      1.00    243689    236059
   9.24897   9.25520      1.00    243884    234774
   9.24872   9.25490      1.00    243466    232921
   9.24844   9.25470      1.00    243363    231354
   9.24819   9.25450      1.00    243413    230014
   9.24792   9.25420      1.00    243315    228482
   9.24767   9.25400      1.00    243737    227461
   9.24739   9.25370      1.00    244508    226618
   9.24711   9.25340      1.00    244419    225159
   9.24686   9.25320      1.00    244874    224182
   9.24658   9.25290      1.00    244696    222638
   9.24633   9.25270      1.00    245298    221847
   9.24606   9.25240      1.00    245087    220197
   9.24581   9.25220      1.00    245136    219058
   9.24553   9.25190      1.00    244928    217437
   9.24528   9.25170      1.00    244678    216128
   9.24500   9.25140      1.00    244355    214459
   9.24475   9.25120      1.00    243911    212984
   9.24447   9.25090      1.00    243704    211639
   9.24419   9.25060      1.00    243017    209759
   9.24394   9.25050      1.00    242591    208388
   9.24367   9.25010      1.00    241889    206564
   9.24342   9.25000      1.00    241206    205027
   9.24314   9.24970      1.00    240800    203643
   9.24289   9.24950      1.00    240190    202092
   9.24261   9.24920      1.00    239770    200725
   9.24236   9.24900      1.00    239224    199282
   9.24208   9.24870      1.00    239187    198261
   9.24183   9.24850      1.00    238479    196714
   9.24156   9.24810      1.00    238283    195503
   9.24128   9.24800      1.00    238154    194481
   9.24103   9.24770      1.00    237896    193357
   9.24075   9.24740      1.00    237796    192436
   9.24050   9.24720      1.00    237377    191200
   9.24022   9.24690      1.00    237100    190086
   9.23997   9.24660      1.00    236529    188953
   9.23969   9.24640      1.00    236209    187813
   9.23944   9.24610      1.00    235885    186930
   9.23917   9.24580      1.00    235969    186234
   9.23892   9.24560      1.00    235858    185545
   9.23864   9.24540      1.00    235972    184977
   9.23839   9.24510      1.00    235071    183657
   9.23811   9.24490      1.00    234714    182813
   9.23783   9.24460      1.00    234361    181919
   9.23758   9.24440      1.00    234240    181360
   9.23731   9.24420      1.00    234186    180829
   9.23706   9.24390      1.00    233893    180129
   9.23678   9.24370      1.00    233769    179594
   9.23653   9.24350      1.00    233818    179165
   9.23625   9.24320      1.00    233856    178815
   9.23600   9.24300      1.00    234094    178588
   9.23572   9.24270      1.00    234162    178246
   9.23547   9.24240      1.00    234300    178016
   9.23519   9.24210      1.00    234479    177779
   9.23494   9.24190      1.00    234386    177423
   9.23475   9.24170      2.00    460336    347910
   9.23400   9.24090      2.00    466533    350878
   9.23322   9.24030      2.00    465510    348418
   9.23247   9.23950      2.00    464953    346480
   9.23172   9.23870      2.00    465485    345534
   9.23097   9.23800      2.00    465014    343942
   9.23022   9.23730      2.00    464147    342229
   9.22944   9.23650      2.00    463147    340627
   9.22869   9.23570      2.00    462862    339847
   9.22794   9.23500      2.00    463276    339800
   9.22719   9.23420      2.00    463473    339802
   9.22644   9.23360      2.00    463468    339811
   9.22567   9.23270      2.00    463784    340209
   9.22492   9.23190      2.00    464044    340722
   9.22417   9.23120      2.00    464844    341711
   9.22342   9.23040      2.00    465552    342761
   9.22267   9.22970      2.00    465591    343364
   9.22192   9.22890      2.00    464112    342871
   9.22117   9.22830      2.00    463702    343272
   9.22039   9.22740      2.00    463281    343748
   9.21964   9.22670      2.00    462030    343673
   9.21889   9.22590      2.00    462932    345273
   9.21814   9.22520      2.00    465240    348058
   9.21739   9.22450      2.00    464929    348925
   9.21664   9.22370      2.00    465384    350469
   9.21589   9.22300      2.00    465919    352166
   9.21514   9.22220      2.00    465937    353573
   9.21436   9.22140      2.00    466208    355234
   9.21361   9.22070      2.00    465187    355929
   9.21286   9.21990      2.00    464857    357205
   9.21211   9.21920      2.00    464322    358267
   9.21136   9.21840      2.00    464562    359933
   9.21061   9.21770      2.00    465419    362085
   9.20986   9.21700      2.00    466295    364200
   9.20911   9.21620      2.00    467008    366107
   9.20836   9.21540      2.00    467311    367611
   9.20761   9.21460      2.00    467921    369258
   9.20686   9.21390      2.00    467229    369762
   9.20611   9.21320      2.00    465808    369526
   9.20536   9.21240      2.00    464141    369058
   9.20461   9.21160      2.00    462998    368824
   9.20386   9.21090      2.00    461947    368643
   9.20308   9.21010      2.00    461151    368575
   9.20233   9.20930      2.00    461481    369247
   9.20158   9.20870      2.00    461746    369808
   9.20083   9.20790      2.00    461834    370179
   9.20008   9.20720      2.00    461948    370525
   9.19933   9.20640      2.00    462144    370827
   9.19858   9.20570      2.00    461602    370443
   9.19783   9.20490      2.00    461371    370327
   9.19708   9.20420      2.00    460618    369679
   9.19633   9.20340      2.00    460237    369272
   9.19558   9.20270      2.00    460484    369369
   9.19483   9.20190      2.00    459322    368195
   9.19408   9.20120      2.00    459720    368271
   9.19333   9.20040      2.00    461731    369540
   9.19258   9.19970      2.00    461806    369223
   9.19183   9.19890      2.00    462875    369748
   9.19111   9.19830      2.00    464188    370381
   9.19036   9.19750      2.00    465330    370837
   9.18961   9.19680      2.00    466705    371418
   9.18886   9.19610      2.00    467722    371766
   9.18811   9.19540      2.00    468488    371806
   9.18736   9.19460      2.00    467833    370744
   9.18661   9.19390      2.00    466601    369228
   9.18586   9.19320      2.00    465382    367698
   9.18511   9.19250      2.00    465285    367141
   9.18436   9.19170      2.00    465131    366531
   9.18361   9.19100      2.00    465317    366218
   9.18286   9.19030      2.00    465597    366108
   9.18211   9.18960      2.00    466236    366317
   9.18136   9.18880      2.00    466990    366667
   9.18061   9.18810      2.00    466361    366059
   9.17989   9.18740      2.00    465988    365735
   9.17914   9.18670      2.00    465083    365070
   9.17839   9.18590      2.00    463500    364020
   9.17764   9.18510      2.00    461817    362980
   9.17689   9.18440      2.00    460254    362177
   9.17614   9.18370      2.00    460293    362771
   9.17539   9.18300      2.00    460621    363781
   9.17464   9.18220      3.00    682773    540371
   9.17278   9.18040      3.00    689592    549841
   9.17092   9.17850      3.00    685923    551613
   9.16906   9.17660      3.00    682712    554259
   9.16719   9.17480      3.00    680933    557985
   9.16533   9.17290      3.00    678532    560880
   9.16347   9.17110      3.00    679466    565997
   9.16161   9.16920      3.00    682405    572250
   9.15975   9.16740      3.00    686585    578996
   9.15789   9.16550      3.00    690703    585105
   9.15603   9.16370      3.00    692143    588362
   9.15417   9.16190      3.00    694048    591505
   9.15231   9.16000      3.00    695254    593710
   9.15047   9.15820      3.00    697366    596285
   9.14861   9.15630      3.00    700950    599796
   9.14675   9.15450      3.00    705842    604320
   9.14489   9.15270      3.00    708615    606759
   9.14306   9.15080      3.00    708996    606910
   9.14119   9.14900      3.00    710469    607908
   9.13933   9.14720      3.00    710574    607568
   9.13750   9.14530      3.00    706943    603823
   9.13564   9.14350      3.00    702616    599522
   9.13378   9.14160      3.00    698591    595578
   9.13194   9.13990      3.00    695550    592510
   9.13008   9.13800      3.00    694036    590948
   9.12825   9.13610      3.00    692398    589680
   9.12639   9.13440      3.00    692847    590471
   9.12456   9.13260      3.00    691525    590092
   9.12269   9.13060      3.00    691234    591110
   9.12086   9.12880      3.00    688917    590717
   9.11903   9.12700      3.00    686273    590388
   9.11717   9.12520      3.00    685743    592264
   9.11533   9.12340      3.00    688732    597369
   9.11350   9.12150      3.00    689824    600991
   9.11167   9.11980      3.00    688713    602754
   9.10981   9.11790      3.00    689183    605859
   9.10797   9.11610      3.00    688287    607677
   9.10614   9.11420      3.00    685112    607313
   9.10431   9.11240      3.00    683148    607940
   9.10247   9.11070      3.00    684880    611623
