  9809     KEK-PF   BL12C
 G:hgcys-11.001  07.05.12 23:28 - 07.05.12 23:55
 Hg:H2Cys 1:2 pH = 12.86, 100 mM, prep. at PF, 5 mm Teflon, stirred 4 hrs        
 Ring :   2.5 GeV   348.8 mA -  342.8 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  9.25969 deg
 BL12C     Transmission( 2)   Repetition=  6     Points=  818
 Param file : A:hgk16         energy axis(2)     Block =    6

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1       12049.00  12150.00         6.00       1.00        17
     2       12150.00  12320.00          .35       1.00       486
     3       12320.00  12400.00         1.00       2.00        80
     4       12400.00  12600.00         2.50       3.00        80
     5       12600.00  13040.00         4.00       3.00       110
     6       13040.00  13260.00         5.00       4.00        45
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
   9.10064   9.10880      3.00    687154    615826
   9.09878   9.10700      3.00    689085    619644
   9.09694   9.10510      3.00    689506    621930
   9.09511   9.10340      3.00    687128    621540
   9.09328   9.10150      3.00    682825    619252
   9.09144   9.09960      3.00    681412    619410
   9.08964   9.09790      3.00    680421    619925
   9.08781   9.09600      3.00    679860    620773
   9.08597   9.09430      3.00    680749    622883
   9.08414   9.09250      3.00    682546    625719
   9.08231   9.09060      3.00    686194    630242
   9.08047   9.08880      3.00    688605    633460
   9.07864   9.08700      3.00    692396    637935
   9.07683   9.08520      3.00    693988    640295
   9.07500   9.08350      3.00    695568    642550
   9.07317   9.08160      3.00    696341    644013
   9.07136   9.07980      3.00    695924    644314
   9.06953   9.07800      3.00    693585    642842
   9.06769   9.07620      3.00    690560    640698
   9.06589   9.07440      3.00    687093    638274
   9.06406   9.07250      3.00    681960    634264
   9.06225   9.07070      3.00    678271    631749
   9.06042   9.06890      3.00    674076    628790
   9.05861   9.06720      3.00    670769    626768
   9.05678   9.06530      3.00    671258    628534
   9.05497   9.06360      3.00    679200    637495
   9.05314   9.06170      3.00    689662    649102
   9.05133   9.06000      3.00    697290    658158
   9.04953   9.05820      3.00    701004    663610
   9.04769   9.05640      3.00    700553    665143
   9.04589   9.05450      3.00    699205    665877
   9.04408   9.05290      3.00    695477    664374
   9.04228   9.05100      3.00    694125    665242
   9.04044   9.04920      3.00    690610    664100
   9.03864   9.04740      3.00    689323    665112
   9.03683   9.04550      3.00    686159    664311
   9.03503   9.04390      3.00    684578    664968
   9.03322   9.04210      3.00    683634    666246
   9.03142   9.04020      3.00    683713    668596
   9.02961   9.03840      3.00    682308    669415
   9.02781   9.03660      3.00    676618    665889
   9.02492   9.03370      3.00    687180    679903
   9.02203   9.03090      3.00    688800    684753
   9.01914   9.02810      3.00    689141    688249
   9.01625   9.02510      3.00    687261    689306
   9.01336   9.02220      3.00    687164    691960
   9.01050   9.01940      3.00    689630    697152
   9.00761   9.01650      3.00    687904    697906
   9.00472   9.01370      3.00    682995    695235
   9.00186   9.01080      3.00    680328    694628
   8.99900   9.00790      3.00    681692    698221
   8.99611   9.00500      3.00    684008    702797
   8.99325   9.00210      3.00    687974    709030
   8.99039   8.99950      3.00    687083    710364
   8.98753   8.99660      3.00    688034    713596
   8.98464   8.99370      3.00    685060    712905
   8.98178   8.99080      3.00    678260    708197
   8.97894   8.98800      3.00    673747    705940
   8.97608   8.98510      3.00    670005    704651
   8.97322   8.98230      3.00    662697    699642
   8.97036   8.97940      3.00    662090    701948
   8.96750   8.97660      3.00    667959    711371
   8.96467   8.97380      3.00    673699    720668
   8.96181   8.97090      3.00    678378    729040
   8.95897   8.96810      3.00    683308    737759
   8.95611   8.96520      3.00    685093    743063
   8.95328   8.96250      3.00    686125    747560
   8.95044   8.95970      3.00    688756    753857
   8.94758   8.95680      3.00    688730    757185
   8.94475   8.95400      3.00    688672    760430
   8.94192   8.95110      3.00    691932    767466
   8.93908   8.94830      3.00    691612    770266
   8.93625   8.94550      3.00    688343    769642
   8.93342   8.94270      3.00    683082    766731
   8.93061   8.93990      3.00    680569    766867
   8.92778   8.93710      3.00    679092    768139
   8.92494   8.93430      3.00    674499    765794
   8.92211   8.93150      3.00    676487    770813
   8.91931   8.92880      3.00    674962    771869
   8.91647   8.92590      3.00    673875    773390
   8.91367   8.92320      3.00    671567    773397
   8.91083   8.92030      3.00    665902    769583
   8.90803   8.91760      3.00    662559    768244
   8.90522   8.91480      3.00    661651    769807
   8.90242   8.91200      3.00    664695    776209
   8.89961   8.90920      3.00    671894    787582
   8.89681   8.90630      3.00    674809    793994
   8.89400   8.90360      3.00    674807    796929
   8.89119   8.90070      3.00    672460    797056
   8.88839   8.89800      3.00    673364    801115
   8.88558   8.89520      3.00    673583    804478
   8.88278   8.89240      3.00    670260    803534
   8.88000   8.88970      3.00    667108    802836
   8.87719   8.88690      3.00    666147    804973
   8.87439   8.88410      3.00    666068    808209
   8.87161   8.88130      3.00    664189    809188
   8.86881   8.87840      3.00    660950    808604
   8.86603   8.87560      3.00    661386    812481
   8.86325   8.87300      3.00    665771    821311
   8.86047   8.87010      3.00    678120    840354
   8.85767   8.86740      3.00    686248    854199
   8.85489   8.86460      3.00    686438    858066
   8.85211   8.86180      3.00    682695    856749
   8.84933   8.85910      3.00    674884    850283
   8.84656   8.85640      3.00    665661    841899
   8.84381   8.85360      3.00    658575    836087
   8.84103   8.85080      3.00    657698    838315
   8.83825   8.84810      3.00    663672    849411
   8.83547   8.84520      3.00    666683    856695
   8.83272   8.84260      3.00    671771    866609
   8.82994   8.83980      3.00    680863    881966
   8.82719   8.83710      3.00    683009    888113
   8.82442   8.83430      3.00    679384    886568
   8.82167   8.83160      3.00    673857    882482
   8.81892   8.82880      3.00    668990    879232
   8.81614   8.82610      3.00    664461    876431
   8.81339   8.82340      3.00    662314    876692
   8.81064   8.82060      3.00    658871    875260
   8.80789   8.81790      3.00    653528    871195
   8.80514   8.81520      3.00    653767    874764
   8.80239   8.81240      3.00    651131    874467
   8.79964   8.80960      3.00    655071    883404
   8.79692   8.80690      3.00    664645    899612
   8.79417   8.80420      3.00    670891    911395
   8.79142   8.80140      3.00    671511    915660
   8.78869   8.79870      3.00    663040    907256
   8.78594   8.79600      3.00    652912    896576
   8.78322   8.79330      3.00    646224    890650
   8.78047   8.79060      3.00    642698    889138
   8.77775   8.78790      3.00    635544    882496
   8.77500   8.78510      3.00    635475    885853
   8.77228   8.78240      3.00    636326    890512
   8.76956   8.77970      3.00    637005    894926
   8.76683   8.77700      3.00    643117    907163
   8.76411   8.77430      3.00    656329    929792
   8.76139   8.77160      3.00    667641    949767
   8.75867   8.76880      3.00    669594    956336
   8.75594   8.76610      3.00    666560    955653
   8.75322   8.76350      3.00    661430    951960
   8.75050   8.76080      3.00    654664    945620
   8.74781   8.75800      3.00    646022    936531
   8.74508   8.75530      3.00    643437    936337
   8.74239   8.75270      3.00    643496    940011
   8.73967   8.74990      3.00    645972    947360
   8.73697   8.74730      3.00    646920    952432
   8.73425   8.74460      3.00    647412    956849
   8.73156   8.74190      3.00    640407    949910
   8.72886   8.73930      3.00    636620    947755
   8.72614   8.73650      3.00    634809    948444
   8.72344   8.73390      3.00    632613    948662
   8.72075   8.73110      4.00    833483   1254278
   8.71739   8.72780      4.00    840797   1271339
   8.71403   8.72440      4.00    842955   1280364
   8.71067   8.72100      4.00    840534   1282474
   8.70731   8.71770      4.00    842511   1291325
   8.70394   8.71430      4.00    848113   1305855
   8.70058   8.71100      4.00    855963   1324269
   8.69722   8.70770      4.00    869294   1351287
   8.69389   8.70440      4.00    884830   1382157
   8.69053   8.70100      4.00    894041   1403314
   8.68719   8.69780      4.00    900343   1419871
   8.68383   8.69440      4.00    903560   1431657
   8.68050   8.69100      4.00    891990   1419397
   8.67717   8.68780      4.00    876989   1401664
   8.67383   8.68440      4.00    864533   1387847
   8.67050   8.68110      4.00    856343   1380837
   8.66717   8.67780      4.00    849946   1376894
   8.66383   8.67440      4.00    848077   1380260
   8.66053   8.67110      4.00    837032   1368485
   8.65719   8.66780      4.00    833425   1368801
   8.65389   8.66450      4.00    833312   1374942
   8.65056   8.66120      4.00    832164   1379363
   8.64725   8.65790      4.00    827021   1377193
   8.64394   8.65460      4.00    830719   1389894
   8.64061   8.65130      4.00    843841   1418774
   8.63731   8.64800      4.00    854547   1443810
   8.63400   8.64470      4.00    850712   1443894
   8.63072   8.64140      4.00    844653   1439960
   8.62742   8.63810      4.00    840511   1439573
   8.62411   8.63480      4.00    838079   1441853
   8.62083   8.63150      4.00    834022   1441315
   8.61753   8.62830      4.00    831901   1444147
   8.61425   8.62500      4.00    833546   1453459
   8.61094   8.62170      4.00    833688   1460392
   8.60767   8.61850      4.00    824732   1450859
   8.60439   8.61520      4.00    812771   1435811
   8.60111   8.61190      4.00    805700   1429461
   8.59783   8.60860      4.00    813687   1450223
   8.59456   8.60530      4.00    813040   1455856
   8.59128   8.60200      4.00    810668   1457975
   8.58803   8.59890      4.00    829349   1498573
   8.58475   8.59560      4.00    832636   1511176
   8.58150   8.59240      4.00    830274   1513348
   8.57822   8.58910      4.00    821215   1503247
   8.57497   8.58580      4.00    802865   1475709

