#11
#1641
#     BM29  -  E.S.R.F.  - Mon Sep 26 12:13:48 2005
# file name: /data/bm29/inhouse/IH-HC-822/Fe_cal_01.dat
# -------------------------------------------------------
# monochromator:  Si (3 1 1) flat
# adopted d spacing  1.63702 Angstroems
# first crystal initial temperature -125.585 C
# primary slit vertical aperture 0.3 mm
# exeprimental slit horizontal aperture 8 mm
# experimental slit vertical aperture 8 mm
# initial ring current 48.7982 mA
# electrometer ranges for I0 - 1e-07 mA, I1 - 3e-08 mA (I2 - 3e-08 mA)
# -------------------------------------------------------
# EXAFS scan with optimized energy mesh
# parameter file name: /data/bm29/external/hs2955/Y_KX.par
# Energy limits  7.04 - 7.86 KeV
# Detuning = 0.1 Loeffen
# acquisition time per scan point 3 s
# target I0 counts for feedback 1.21399e+06 1.29394e+06 counts/s, tif = 1, tiw = 0.1
# E(keV), alpha, E_hdh(keV), I0, I1, (13 fluo channels), point, qg1, T1, T2, (I2, ref)
7.06350279 -0.697337 3637861 7306269 9.50123 48 2674.14 0 0 500186 2.68151 21703.2
7.0640049 -0.697688 3637834 7308784 9.50123 49 2676.43 0 0 501543 2.67914 21706.8
7.06450033 -0.697898 3636216 7307067 9.50123 50 2678.72 0 0 502522 2.67696 21710.6
7.06500292 -0.698118 3636580 7309403 9.50123 51 2680.25 0 0 502389 2.67754 21714.7
7.06550455 -0.698362 3636280 7310584 9.50123 52 2681.77 0 0 491050 2.70053 21718.6
7.06600094 -0.69859 3632757 7305166 9.50123 53 2683.3 0 0 503436 2.67488 21722.4
7.06650257 -0.698924 3632186 7306457 9.50123 54 2684.06 0 0 490618 2.70085 21726.2
7.06700468 -0.699151 3631192 7306116 9.50123 55 2684.82 0 0 492700 2.69657 21730
7.06750107 -0.699425 3632707 7311168 9.50123 56 2685.59 0 0 497187 2.68819 21733.6
7.06800318 -0.699746 3629956 7307981 9.50123 57 2687.11 0 0 492249 2.69774 21737.2
7.06850004 -0.700148 3629711 7310426 9.50123 58 2687.88 0 0 493789 2.69495 21740.8
7.06900215 -0.700289 3625703 7303382 9.50123 59 2688.64 0 0 498945 2.6836 21744.6
7.06950521 -0.700683 3628199 7311287 9.50123 60 2687.88 0 0 493961 2.69472 21748.2
7.07000256 -0.700866 3629119 7314483 9.50123 61 2687.88 0 0 492119 2.69889 21751.8
7.07050514 -0.701127 3625422 7308933 9.50123 62 2688.64 0 0 493976 2.69436 21755.6
7.07100248 -0.701455 3629801 7320165 9.50123 63 2688.64 0 0 495794 2.69223 21759.4
7.07150507 -0.701684 3629129 7320485 9.50123 64 2689.4 0 0 503286 2.67727 21763
7.07200241 -0.701837 3625568 7314419 9.50123 65 2690.17 0 0 495382 2.69227 21766.8
7.07250547 -0.702134 3624947 7315338 9.50123 66 2690.17 0 0 495832 2.69149 21770.7
7.07300282 -0.702504 3628070 7324353 9.50123 67 2690.17 0 0 508480 2.66753 21774.3
7.07350063 -0.702731 3627278 7324417 9.50123 68 2690.93 0 0 507718 2.66904 21777.8
7.0740037 -0.70305 3624990 7322131 9.50123 69 2691.69 0 0 500025 2.684 21781.4
7.07450151 -0.70326 3623825 7321317 9.50123 70 2691.69 0 0 507543 2.66896 21785.2
7.07500505 -0.703429 3623759 7322418 9.50123 71 2691.69 0 0 504003 2.67611 21789.1
7.07550287 -0.703883 3628158 7334637 9.50123 72 2691.69 0 0 507612 2.67064 21792.6
7.07600117 -0.70413 3628527 7337197 9.50123 73 2692.45 0 0 508493 2.66926 21796.2
7.07650471 -0.704258 3625275 7331561 9.50123 74 2693.98 0 0 508373 2.66873 21800
7.077003 -0.70468 3629556 7343312 9.50123 75 2694.74 0 0 509210 2.66868 21803.6
7.0775013 -0.704886 3629899 7345519 9.50123 76 2696.27 0 0 509995 2.66744 21807.2
7.07800007 -0.705058 3630159 7347313 9.50123 77 2697.8 0 0 505332 2.67687 21810.7
7.07850361 -0.7053 3627290 7343282 9.50123 78 2699.32 0 0 496860 2.69323 21814.6
7.07900238 -0.705649 3630742 7352836 9.50123 79 2700.08 0 0 509521 2.66937 21818.1
7.07950115 -0.705906 3626413 7345957 9.50123 80 2702.37 0 0 505557 2.67624 21821.8
7.0800004 -0.706126 3626150 7347038 9.50123 81 2703.14 0 0 507420 2.67271 21825.4
7.08050442 -0.706352 3622830 7341974 9.50123 82 2703.9 0 0 507738 2.6714 21829.3
7.08100319 -0.706544 3625823 7349447 9.50123 83 2703.9 0 0 511843 2.66436 21832.9
7.08150244 -0.706808 3626622 7353009 9.50123 84 2704.66 0 0 507017 2.67432 21836.4
7.08200169 -0.707199 3624331 7351240 9.50123 85 2706.19 0 0 508901 2.67037 21840
7.08250093 -0.707326 3622599 7348657 9.50123 86 2706.95 0 0 509422 2.669 21843.6
7.08300018 -0.707397 3622737 7349458 9.50123 87 2707.71 0 0 511007 2.666 21847.1
7.08350515 -0.707834 3620044 7347205 9.50123 88 2708.48 0 0 510924 2.66585 21850.9
7.0840044 -0.707857 3623194 7353767 9.50123 89 2708.48 0 0 513443 2.66183 21854.5
7.08450413 -0.70816 3625297 7360271 9.50123 90 2709.24 0 0 513101 2.66338 21858.1
7.08500385 -0.708401 3624777 7360984 9.50123 91 2710.77 0 0 514138 2.66146 21861.7
7.08550358 -0.708638 3626082 7365383 9.50123 92 2712.29 0 0 500766 2.68841 21865.2
7.08600378 -0.708897 3625301 7365705 9.50123 93 2713.82 0 0 514011 2.66234 21869.1
7.08650351 -0.709032 3622917 7361849 9.50123 94 2715.34 0 0 499733 2.68999 21872.9
7.08700371 -0.709319 3627697 7373678 9.50123 95 2716.11 0 0 513446 2.66453 21876.7
7.08750296 -0.70958 3622151 7364330 9.50123 96 2718.39 0 0 512791 2.66453 21880.6
7.08800316 -0.70973 3624115 7369427 9.50123 97 2719.16 0 0 514426 2.66204 21884.2
7.08850336 -0.709993 3624670 7372494 9.50123 98 2720.68 0 0 509312 2.67245 21887.7
7.08900404 -0.710157 3623823 7371982 9.50123 99 2722.21 0 0 501262 2.68831 21891.3
7.08950424 -0.710222 3623856 7372526 9.50123 100 2723.74 0 0 513556 2.66416 21894.9
7.09000492 -0.71045 3621008 7368411 9.50123 101 2725.26 0 0 513746 2.66323 21898.5
7.09050035 -0.710572 3619121 7365471 9.50123 102 2726.02 0 0 512826 2.66462 21902.3
7.09100103 -0.710733 3620472 7369410 9.50123 103 2726.79 0 0 511890 2.66698 21905.9
7.09150171 -0.710933 3621504 7372986 9.50123 104 2727.55 0 0 512719 2.66585 21909.5
7.09200287 -0.7111 3618112 7367307 9.50123 105 2729.08 0 0 509703 2.67098 21913.6
7.09250307 -0.711328 3615831 7364341 9.50123 106 2729.84 0 0 515311 2.65963 21917.2
7.09300423 -0.711509 3616778 7367606 9.50123 107 2729.84 0 0 514747 2.66117 21920.8
7.09350538 -0.711682 3616078 7367450 9.50123 108 2729.84 0 0 515701 2.6593 21924.4
7.09400129 -0.711731 3612175 7359860 9.50123 109 2729.84 0 0 513381 2.66278 21928.2
7.09450245 -0.711851 3616723 7370013 9.50123 110 2729.08 0 0 516104 2.65887 21931.8
7.09500408 -0.712003 3617696 7373118 9.50123 111 2729.08 0 0 516023 2.65944 21935.9
7.09550524 -0.712145 3614305 7367253 9.50123 112 2729.84 0 0 503242 2.68373 21939.7
7.09600115 -0.712106 3615570 7369544 9.50123 113 2729.84 0 0 503701 2.68313 21943.5
7.09650278 -0.712258 3618412 7376457 9.50123 114 2729.84 0 0 508263 2.67505 21947.1
7.09700441 -0.712387 3621365 7383432 9.50123 115 2730.6 0 0 506075 2.68031 21950.7
7.0975008 -0.712386 3619769 7380170 9.50123 116 2732.13 0 0 505425 2.68115 21954.3
7.09800291 -0.712427 3620607 7382180 9.50123 117 2733.65 0 0 519508 2.65394 21957.9
7.09850502 -0.712426 3619322 7379553 9.50123 118 2735.18 0 0 519773 2.65308 21961.7
7.09900093 -0.712376 3617404 7375269 9.50123 119 2736.71 0 0 509489 2.67248 21965.4
7.09950304 -0.712353 3620250 7380901 9.50123 120 2737.47 0 0 505603 2.6809 21969
7.10000038 -0.712334 3616587 7373295 9.50123 121 2738.99 0 0 504018 2.68301 21972.8
7.10050249 -0.712292 3621996 7384016 9.50123 122 2739.76 0 0 513669 2.66549 21976.4
7.10100508 -0.712232 3620192 7379896 9.50123 123 2742.05 0 0 518200 2.65615 21980.2
7.10150146 -0.712146 3617217 7373193 9.50123 124 2744.34 0 0 504777 2.68149 21983.8
7.10200405 -0.711991 3614220 7365947 9.50123 125 2745.86 0 0 516765 2.65703 21987.4
7.10250139 -0.71179 3611238 7358388 9.50123 126 2746.62 0 0 518091 2.65344 21991.2
7.10300446 -0.711503 3615080 7364098 9.50123 127 2746.62 0 0 517681 2.65501 21995.1
